,nickname,score,review,stay_date
0,주희 이,50,"서비스, 시설 모든게 완벽했습니다! 특히 객실 내에 깔끔한 분위기와 휴식과 비즈니스 모든 점에서 완벽한 시설이 인상적이었습니다. 감사합니다.",2021-07-01
1,hwan jun jang,50,여의도 glad 호텔 grace님 체크인 잘 안내해주시고 친절하시고 좋았습니다. 호텔도 깨끗하고 정말 좋아요! 다음에도 방문하고 싶습니다,2021-07-01
2,박은희,50,출장와서 급하게 예약을 한다고 룸컨디션도 안보고 했는데 로비에서 만난 케빈님이 친절히 도와 주셔서 편하게 지내다 갑니다. 물 사는걸 깜빡하고 들어왔는데 청소하시는 분에게 물을 더 가져가도 되냐고 하였더니 잘 챙겨주시고 불편함이 없었습니다.,2021-06-01
3,Pizza__,50,기대는 안했었는데 방도 넓고 욕실도 깨끗하고 너무 좋습니다 ㅎ 예약한 룸보다 업그레이드 시켜 주셔서 편하게 묵고 갑니다 위치도 너무 좋습니다,2021-06-01
4,김세화,50,여의도 글래드 호텔 침구가 좋기로 유명한데 역시 침구도 최고고 데스크에 계신 직원분들도 너무 친절하시고 좋아ㅛ어요!! 앞으로 근처에 호텔 갈일있으면 글래드 추천합니당,2021-06-01
5,khw,50,"로비에서 안내해주시는 분도 너무 친절하셨고, 룸도 너무 넓고 편안했습니다! 침대도 너무 편안해서 알람도 못듣고 푹 잤습니다 ㅎㅎ 다음에 또 방문하고 싶어요!",2021-06-01
6,Hana hong,50,"국회 바로 앞이라 비즈니스 일정보는데 편안했어요 !!
건물도 깨끗하고 친절히 안내해주셔서 글래드호텔 추천 드립니다 ㅎㅎ",2021-06-01
7,Maxcho88,40,여의도에 편리하게 이용할수있는 비지니스호텔이며 위치적으로 괜찮고 방음도 잘되있으며 괜찮은거 같아요 앞으로 자주이용할꺼같아요,2021-06-01
8,안상호,50,직원분들 다들 친절하시고 객실상태도 매우 깔끔하고 침구류들도 푹신푹신해서 좋아요. 한강공원하고도 가까워서 다음에 또 방문하고 싶네요~~,2021-06-01
9,다이다히,50,"여의도 한복판에서 친구들과 즐거운 추억이었습니다! 금액도 저렴했고 룸도 생각보다 커서 잘 보냈네요! 화장실, 샤워실, 세면대가 구분되어있어 편리했습니다. 직원분들(특히 그레이스님!!🧡🧡) 친절하고 센스있게 도와주셔서 더욱 즐거운 호캉스였네요!! 다음번이 또 묵고싶어요!",2021-04-01
10,syj,50,위치가 국회의사당역과 가까워서 서울 중심으로 나가기 편리하고 친절해요. 깔끔하고 시설이 좋습니다. 주차도 많이 많이 편해요~,2021-05-01
11,dong hyun song,50,"체크인 시간보다 빨리갔는데 일찍 체크인 친절하게 도와주셔서 기분 좋았습니다.
뷰는 아쉽지만 침대는 편하고 좋았습니다",2021-05-01
12,선민,50,"글래드 여의도에 힐링 겸 평일에 쉬러왔는데
깔끔하고 넓고 좋습니다 잘 쉬다가요
그레이스분이 친절하게 안내해주셨어요",2021-05-01
13,Joy,50,코시국에 지겹고 지겹고 지겹던 차에 혼캉스를 계획하게 되고..글래드 호텔을 알게 되었습니다. 여러 지점 중에서도 여의도지점이 평이 좋았고 더 현대도 가볼겸 선택했는데 결론부터 말하자면 가성비 아주 좋은 곳이라고 생각합니다. 1박예약하고 왔고 너무 만족해서 와인한잔하며 후기쓰는 중입니다.관광객에게는 위치가 애매할 지도 모르겠지만 그래도 지하철역 정말 코앞에 있고 혼캉스가 목적이었던 저로써는 동네자체가 조용하고 한적해서 오히려 더 좋았습니다. 적극 추천합니다👍👍👍다만 덧붙이자면 제가 묶었던 룸은 너무 바로 옆건물과 붙어있어서 커텐을 치는게 맘편했어서 신경쓰이시는 분들은 예약할때 다른 방향 뷰(?)로 요청하해보는게 좋을 듯 합니다:)ㅣ,2021-05-01
14,tototoro,50,"시설도 편안하고, 그보다 더 편안한 서비스가 있는 곳
여러번 방문했는데 늘 좋아요
다음에는 호캉스로 쉬러 와봐야겠어요- 굿",2021-05-01
15,reuma,50,"복도부터 룸 내부 벽까지 전체적으로 블랙톤이라 세련됐어요
침대 극찬하는 후기가 많았는데 평소에 외박하면 꼭 깨지만 글래드 여의도에서는 아침까지 꿀잠 잤습니다ㅜㅜ 진짜 침대 땜에라도 또 가고 싶어요,, 코너룸 디럭스라 침대 외에도 간이 쇼파랑 테이블이 있어서 배달음식 펼쳐놓고 먹기에도 너무 좋았어요! 제스 직원분의 친절한 안내로 즐거운 투숙하고 가요",2021-05-01
16,규리미,50,한강 놀러온김에 1박했는데 너무 좋은 시간 보내구 갑니당^^ 에밀리님이 레이트 체크아웃도 무료로 해주셔서 푹자구 가요:) ㅎㅎ,2021-05-01
17,Seon Ae,50,"케이크 때문에 얼리 체크인 문의드렸는데 친절히 안내해주신 emma님 감사합니다
방은 생각했던것보다 더 컸고 (코너 디럭스 더블 룸) 화장실도 넓어서 좋았어요. 욕조 필요하시면 글래드 킹으로 가셔야돼요. 침대도 진짜 푹신해서 정말 오랜만에 개운히 잤습니다. 다음에 또 가고 싶어요!",2021-05-01
18,혜원 정,50,직원분들도ㅜ너무 친절하게 설명 안내 잘해주십니다. 무엇보다 여기 침대가 너무 좋아요 숙면 각입니다. 가격도 젛다버니 재재재방문중입니다.,2021-05-01
19,JAE YOON JEON,50,완전 좋았어요 ㅎㅎ. 잘 놀다갑니당 안내데스크분이 너무너무 친절하셨어요 침구가 특히 맘에 쏙이에요 좋아욯ㅎㅎㅎㅎㅎ,2021-05-01
20,Minjae,50,"Grace님 너무 친절하셔요
완전완전 짱 좋아요
호텔 입구를 들어갔을때 좋은 냄새나서 좋았어요
다시 한번 친절히 안내해주신 점 감사합니다!!",2021-05-01
21,dany,50,"군더더기없는 호텔입니다. 안에 부대시설이나 주변편의시설도 다 갖춰져있고 , 여의도공원 산책하기도 좋아요. 침구도 좋아서 올때마다 잠을 너무 잘자요ㅡ 실내 조도가 약간 어두운편이라 더 잘오는 것 같기도 ㅎㅎ 직원분들 서비스도 좋아서 추천합니다.
(",2021-05-01
22,lee,50,"남자친구랑 호캉스로 예약했는데 시설도 깔끔하고 무료로 룸 업그레이드도 해 주셨어요 ;)
벌써 두번째 방문인데 매번 큰 방으로 바꿔주셔서 항상 재밌게 놀다 갑니당ㅎㅎ",2021-05-01
23,Kim Nayoung,50,"여의도로 여행계획잡고 급하게 구한 숙소였는데 진짜 너무너무 만족했습니다!! 호텔위치도 초역세권이고 주변에 맛집도 엄청 많고 여의도 한강공원도 가까워서 따릉이타고 가기 좋고 했지만 무엇보다도 호텔자체가 너무 편하고 안락했던 점, 그리고 직원분들이 (특히 제스직원님😆) 모두 친절하신 점을 가장 높이평가하고 싶습니다:)

평일이라서 그런지 무료로 객실 업그레이드도 해주시고 행복했어요💖 주변 친구들에게도 추천하고 강추후기로 블로그에도 따로 쓰려고 합니다! 다음에도 무조건 또 오고싶어요~! 좋은 추억 만들어주셔서 감사합니다!",2021-05-01
24,sangeun,50,"침대도 편하고 시설도 깔끔해서 항상 이용하는 곳입니다! 이번에도 좋은방 선택해주셔서 좋은선물 되었습니다
감사합니다 하이디님:)",2021-05-01
25,주희 서,50,"'Emma' 님💝 평소 글래드를 자주 이용하는데요, 항상 올때 마다 너무너무 만족합니다. 룸 커디션은 비슷한 가격대의 타 호텔들에 비해 최상이라고 생각해요. 특히 베쓰룸은 글래드 호텔의 특징? 상징같은 느낌까지도 들 정도로 인테리어나 사용자 배려 측면(예를 들면 세면대, 샤워실 거울)에서도 탁월한 것 같아요~ㅎㅎ 항상 올때마다 기분 좋게 시간을 보내다 가는 것 같아서 추천입니다👍❤",2021-05-01
26,석호 명,50,"'하이디'님이 안내해주셨고 엄청 친절하게 안내해주셔서 좋았고
룸 컨디션도 청소가 잘 되어 있는 듯 하고 깔끔하니 좋네요 ㅎㅎ",2021-05-01
27,Younglong im,50,"위치때문에 예약했는데 룸컨디션도 좋고
로비에 제스 선생님이 친절하게 물건도 챙겨주시고
설명도 잘 해주셔서 좋았습니다. 재방문 의사 백프로❤️❤️",2021-05-01
28,Youn HYUNSIK,50,'헤일'님 소개로 좋은 방 묵게 되어서 정말 좋아요 방도 깨끗하고 화장실도 넓고 깔끔해요! 앞으로 재방문 의사 있어요.감사합니다!,2021-03-01
29,Jia,50,더서울현대 구경할겸 친구들과 경남고성에서 올라갔다가 글래드호텔 투숙했는대 가성비 최고였습니다.프론트 직원들도 너무친절하고 침구류도 최고였습니다. 다음번 서울올라가도 글래드여의도에서 투숙하고싶네요,2021-03-01
30,limyang,50,"오랜만에 글래드 호텔 방문했어요. 마침 더현대도 오픈해서 타이밍 좋게 구경도 했어요 호텔에서 생각보다 가깝더라구요 호텔 앞에서 버스타면 한정거장이고, 돌아올 때는날씨가 좋아서 여의도 공원 산책할 겸 걸어 왔어요. 그리고 정말 편안한 침대! 꿀잠을 잤어요ㅠ 주말의 여의도는 언제나 고요하고 좋은 것 같아요. 근처에 쌀국수 맛집까지 있어서 항상 가면 체크 아웃하고나선 kbs앞 쌀국수집을 가게 되네요 ㅎㅎ 이번에도 편하게 잘 쉬고 왔어요.",2021-02-01
31,jung1,50,서울에 볼일이있어 딸과 투숙을했는데 호텔이 참 좋네요.^^ 객실도 깔끔하고 위치도 좋습니다 체크인도와줬던 프런트 하이디 직원분 덕분에 잘 쉬다갑니다~ 지방에서 올라와 이것저것 물어봤었는데 친절히 응대해주어 고마워요!,2021-02-01
32,JE,50,제스 님이 친절하게 응대해주셔서 좋았어요! 글래드는 역시 침구!! 깔끔하고 조용해서 덕분에 명절에 푹 쉬다 왔습니다 :) (칫솔은 꼭 챙겨오세요),2021-02-01
33,도시여행쟈아아,50,"글래드 킹예약했는데 룸업그레이드에 레이트 체크아웃까지 해주셨습니다. 직원분들 너무 친절하고 서비스도 너무 좋아서 친구랑 호캉스하러 올때 제일먼저 보는곳이에요. 프론트 제스님이 정말 친절하세요♡ 침대 퀄러티 너무 좋구요, 위치도 공원 ifc랑 가까워서 정말 좋아요. 글래드 하우스에는 스타일러랑 세탁기도 있어서 요긴하게 잘 썼어요. 강추입니다. 다음에 또 올게요오오오",2021-02-01
34,Minsu,50,"아주 친절하시고 근처 여의도 상권에 접근성이 너무 좋아서 아주 편하게 쉬었습니다
수건이랑은 추가로 요청하여야 할듯 하네요",2021-02-01
35,CHIEN,20,"침대가 너무좋아서 완전 행복했지만 처음 체크인할때 책상에 먹다남은 치킨가루 커피 얼룩,,,, 모텔에서 보이는 위생상태는 4성급은,,,, 거기다 옆방 문 고장문제로 30분동
안 고치면서 소리를 내는데 연락한번 오지않고 계속 소리내어서 잠도 다 깨버린,,, 그런 점에서 참 마음에안들었습니다",2021-02-01
36,my,40,"글래드는 여의도가 두번째인데 역시 깔끔하니 좋네요
환경을 생각하는 부분도 마음에듭니다(칫솔 치약 면도기 등은 챙겨가세요)
직원분들도 너무 친절하시구 다음에 또 여의도에 오게되면 글래드로 방문하도록 하겠습니다^^",2021-02-01
37,Im,50,grace님이 체크인 도와주셨는데 친절하셔서 연휴 첫날부터 기분 좋게 지내다가 갑니다 객실도 생각한것 보다 넓고 깨끗했고 거울도 많아서 좋았어요 특히 화장실과 샤워실이 분리 되어있어 불편함이 없었어요 한강도 가까워 추천합니다,2021-02-01
38,Elvin,50,"정말 깔끔하고
넓고 아주 좋아요
디럭스 인데 룸 상태가 매우 좋네요
깔끔하고.. 뷰도 좋고
넓고 조용하고 감사합니다.
다음에 또 올게요",2021-02-01
39,ys kim,50,"코로나 너무 장기화 되기도하고
집에만 있기에도 너무 지루하기도 해서 호캉스 왔습니다
입실하기에 약간 일찍왓지만 친절하게 잘 설명해주셔서 좋았구요.
입실 후 방안을 봤는데 깔끔해서 더욱 좋앗어요
칫솔,치약은 가능하면 개인이 챙겨 가세요.
넷플릭스가 되는지 데스크에 문의했는데 안된다고 하시네요
대신 노트북 있어서 노트북으로 호캉스 즐기는 중입니다
다음에도 기회생기면 글래드 여의도로 호캉스 즐기로 오고 싶네요.
코시국 모두 조심하시구요.
호캉스 글래스 여의도로 한번 와서 즐기세요~",2021-02-01
