,nickname,score,review,stay_date
0,dingdong11,40,객실 깔끔하고 2박묵었는데 청결상태도 아주 좋습니다 다음에도 부산 방문하면 재방문하고싶어요 가격대비 만족스러운 호텔이었습니다,2021-08-01
1,Rebecca Choi,40,작년 여름에 방문했을때 방도 깨끗하고 해운대 가깝고 직원분들 친절하시고 만족해서 재방문했어요 이번에는 로프트 복층에 투숙했는데 아이들이 복층을 너무 좋아했네요 방 깨끗했구요 다만 복층에 있는 요가 좀 얇아서 아쉬웠어요 조식도 하루 먹었는데 가격대비 좀 아쉬웠어요 가짓수도 그렇고 맛도 그냥 그랬네요  그래도 해운대에서 가까워서 바다 가기도 좋았고 주변에 먹거리가 많아서 좋아요 주차도 직원분들이 기계주차 해주시고 앱으로 미리 신청하면 다 출차도 해주셔서 편했어요 단점보다 장점이 많은 곳이라 다음에도 갈 것 같아요,2021-07-01
2,지예,50,아이와엄마 그리고 나 3대가 부산여행을 계획하고 다녀왔어요 좋은시기여서 물놀이며 맛있는 음식까지  그리고 호텔 패키지에 포함된 요트 체험은 이국적인 부산을 만끽할 수있었어요 깨끗하고 친절한 룸 서비스 까지 아주편하게 쉬었왔어요 해운대 중심에 있어 여기저기 자동차로 10분거리로 이동하였어요 부산이 생각보다 훨씬 넓어서 위치도 좋았다는걸 알수있었어요 또 가고 싶다 부산,2021-07-01
3,성우 정,10,장마비 예고에도 불구하고 오랫만에 해운대 구경이 하고싶어서 천둥번개를 뚫고 골든튤립 호텔숙소에 찾아 도착하니  때마침 날이개어 즐겁고 행복한 시간을 보내게 되었습니다 더해서 호텔 조식도 생각외로 괜찮아서 의미있는 여행을 느끼게 하였습니다 조만간 다시 한번 방문 여행 하고 싶어지네요 ,2021-07-01
4,Min,10,작년에 이용하고 좋아서 주변에 알릴정도로 많이 추천도 해줬고 이번에도 또 이용하게 되었습니다 그렇지만 다시 방문 한 호텔은 최악중에 최악이었습니다 에어컨을 한시간넘게 틀어놨는데도 시원해지지 않았고 프론트에 연락했더니 올라오셔서는 에어컨 실외기 문제라며 몇번 왔다갔다 하더니 급기야 에어컨 필터를 열어보고 먼지가 많이 쌓여있다며 조그만한 호텔방에 먼지를 날리며 저희 객실 화장실에 가서 먼지 청소를 하시더라고요 진짜 고객을 뭘로 생각하는건가 너무 화가 났지만 꾹 참았습니다 저녁에는 씻으려고 샤워실에서 샤워를 하는데 에어컨 먼지 때문인지 하수구에 물이 안내려가더라고요 일단 샤워는 마쳐야되니 하수구를 손으로 뜯었습니다 집에서도 고무장갑 끼고 만지는 하수구를 호텔에서 만지다니요화가 나서 프론트에 또 전화를 했더니 금방 올라오겠다는 답변 아까 그 에어컨 만지고 간 직원이 올라와서는 하수구 뚫고 가셨습니다 짜증나서 한마디 했더니 사과보단 직원도 멋쩍게 웃고는 그 상황만 빨리 벗어나려는 듯한 태도 더 화가났습니다 프론트에 전화해서 한마디 했을때도 그냥 직원 올려보낸다는 말만 하고 체크아웃할때도 체크아웃되었다는 말만 듣고 어디에서도 진심어린 사과를 받을 수 없었습니다 동네 모텔도 아니고 기분 좋게 놀러간 만삭여행인데 기분만 더러워지고 왔습니다,2021-07-01
5,Lovely Son,50,작년 오픈했을때 다녀왔던 좋은기억이 있어서 많은 해운대 호텔 중 별고민없이 올해 두번째로 방문하였습니다 마침 호텔자체 프로모션도 하여 가성비 정말 최고인듯합니다 시설 깔끔하고 침대 크고 너무편한것 같아 완전 꿀잠잤습니다 주차도 효율적인 시스템을 도입해서 그런지 기계식이었음에도 불구하고 대기없이 바로 출차할수있었습니다 그리고 가장 큰 장점 스타일러 여름이라 땀을 많이 흘리는데 외출 다녀온 후 바로 스타일러 뽀송뽀송한 옷으로 재탄생 캐리어속에서 주름진옷은 보기좋게 쫙 펴지구요 정말 최고입니다 위치적으로도 바다와도 가깝고 편의시설 괜찮고 근처에 맛집들도 있고 전 해운대 올때마다 여기 묵으려고 합니다 다른분들도 이용해보시길 추천드립니다 내돈내잠 솔직후기,2021-07-01
6,지정순,20,큰아이 재수가 끝나고 대학입학후 첫여름방학 시작 바다 보고 싶다고해서 홈쇼핑시청하다 너무 가성비 좋은 골든튤립호텔 상품구입했다 3년만에 부산여행이라 설레는 맘으로 고고씽 기차표예매 자석을 맨앞으로 해서 불편을 감수하고 부산역도착 돼지국밥 먹고 지하철로 해운대역도착 걸어서 호텔도착 우와 많이 변한 부산에 감탄 체크인 오후4시 너무늦다싶었는데 바다보고 들어오니 괜찮았다 4명이라 방2개 체크인을 하고 10층으로 방한개가 안열려서 불편하고 바로 조치는 해주셨지만 아무튼불편 일회용품 없는게 이상했고 물비누보단 그냥 비누가 개인적으로 좋을껄 했다 스타일러 있는거커피머신 있는건 매우 만족스러웠다  퇴실하러 10시반 10층에서 엘레베이터 기다리는데 어머 이거뭐야 무려 2층에 내려온 시간이 11시35분 헐 엘레베이터가 너무 작고사람들은 많고 개선을 요청하고 싶은 부분이다 아무튼 가족여행 무사히 잘하고 왔다,2021-07-01
7,상대 신,50,가족은 일정이 안맞아 친구와 둘이서 한께한 여행인데 해운대 모래사장에서도 가깝고 lct 주변이라 이제 많은 편의시설들이 들어오는듯 주변 먹거리도 많아 식사해결하는데 편했으며 호텔내부는 세탁기건조기포함 의류스타일러 등이 있어 수영 후 또는 옷을 뽀송하게 입고 다닐수 있어 좋았습니다 식사도 제공되고 주차도 가능하며 2층 편의시설도 있어 괘적한 여행이 됩네요,2021-07-01
8,Kys,50,저는 부산살지만 성수기를 피해서 해운대 호텔서 호캉스를 보냅니다 골든튤립호텔 해운대 맛집 걸어서 다갈수 있는 위치에 조식 우리아이 입에 딱 좋아 우리부부도 맛났고 오픈2년되었다는데 침실 및 샤워실 컨디션 굿이에요 입구에 튤립 이뻐요 가성비 최고의 호텔로 담에 기회되면 또 묵고싶어요,2021-07-01
9,예현진,40,전체적으로 만족 스러웠습니다 조식은 흔해서 요트 투어 골랐는데 시간 예약이 잘못되어서 한시간 기다렸네요  위치도 좋고 스타일러등 시설도 좋아서 좋았습니다,2021-07-01
