,nickname,score,review,stay_date,label1
1,334sunmiy,50,노보텔 동대문 신규 오픈시점에 숙박하게됐습니다 침구도 푹신하고 침대마다 USB port 전원 제공에 사이좋게 스마트폰 충천했습니다 호텔방을 들어가니 나가기가 싫네요 Food exchange에서 제공하는 아침 뷔페는 먹는거마다 맛있네요 정성스런 착즙쥬스 맛있는 카푸치노와 베이커리로 행복한 아침이었습니다 신규 오픈이어서 준비로 바쁘지만 친철한 직원들의 답변과 안내에 서울 시내 호캉스로 강추합니다 DDP 외에도 현대 아웃렛 센터도 있어서 오랜만에 쇼핑도 즐거운 경험이었습니다,2018-06-01,
2,jooyeuns,30,이그제큐티브 룸 예약해서 라운지 이용했습니다 라운지 음식은 그렇게 좋은 퀄리티는 아니었습니다 손님이 많지 않아서인지 가짓수도 많지 않았습니다 조식 또한 좀 더 맛이나 모양에 신경 써주시면 좋을 것 같습니다 요거트를 큰 통에 담아서 덜어 먹을 수 있도록 되어 있는데 작은 병에 세심하게 담아 주셨으면 더 청결해보이고 좋았을 것 같습니다 수영장 바닥이 너무 미끌거리고 약 냄새가 조금 나긴 했지만 너무 북적이지는 않아 좋았습니다,2018-06-01,
3,Young hoon L,50,지난 6월 30일 와이프의 강력한 요청으로 작년에 갔던 그랜드머큐어를 다시 가려고 했다가 가 본 곳이 아닌 새로운 곳이 가고 싶어 붙어 있는 노보텔 스위트를 방문했습니다 3시 30분 즈음에 로비에서 체크인 진행하였는데 대기는 좀 있는 편이었지만 아코르 회원이라 상대적으로 대기 없이 바로 진행할 수 있었습니다 저희가 질문이 좀 많은 편이었는데 체크인 진행해주셨던 호텔리어 분께서 성함을 못 여쭤봤네요 너무나 친절하게 알려주셔서 참 감사했습니다 저희가 배정받았던 룸은 디럭스스위트였고 사전에 요청했었던 공기청정기와 가습기를 미리 준비해주셨습니다 방은 침실과 화장실 거실주방이 분리되어 있었으며 각 공간을 미닫이문으로 격리시킬 수 있었습니다 그랜드 머큐어에서도 느꼈었지만 둘이 있기에는 많이 넓은 편이며 왜 아이들을 2명까지 허용할 수 있는지를 알 수 있는 대목이기도 했습니다 저희는 52번대 방을 배정받았었는데 체크인시 정겹게 설명해주신 것처럼 한강이 살짝 보이는 뷰입니다 리버뷰라기보다는 시티뷰입니다 가만히 보고 있자니 비 오는 날을 운치있게 만들어주는 뷰였습니다 다만 많은 분들이 지적해주셨던 방음에 대한 부분은 살짝 아쉬웠습니다 복도에서 통화하시던 분이 있었는데 거실에서 대화내용을 알 수 있을 정도였습니다 잠시 짐을 풀고 쉬다가 해피아워시간이 되어 라운지를 가보았습니다 간단한 식사류와 디져트가 준비되어 있었는데 당근케이크가 정말 압도적으로 맛있었습니다 먹기 전에는 케이크 주제에 맛있어봤자 얼마나 맛있겠냐고 생각했는데 정말 맛있었습니다 분명 다른 음식들도 맛있었는데 사진을 찍어두지 않았더니 머릿속에 당근케이크만 남아있네요 와이프가 연어를 좋아하는데 레몬 타르타르소스 케이퍼가 다 갖춰져 있다고 참 좋아했습니다 샐러드도 정갈했고 특히 절인 올리브가 준비되어 있었는데 맛이 좋았습니다 다시 저녁시간을 보내고 11시 즈음에 31층 킹스베케이션을 갔습니다 11월 오픈때에는 홍보가 많이 안되어 있어 사람이 적었는데 지금 가니 거의 만석 수준으로 사람이 많았습니다 창가석은 20만원 이상 주문을 해야한다고 해서 간단히 칵테일 한 잔만 하려고 중앙쪽에 앉았습니다 메뉴에 시그니처 칵테일이 생겨서 한번 주문하려고 했는데 이게 바텐더가 손님의 취향에 맞게 만드는 칵테일을 시그니처 칵테일이라고 한다고 하여 그냥 일반 칵테일을 주문했습니다 starry night과 다른 칵테일이었는데 아무래도 반고흐 전시회와 함께 프로모션 중인 것 같았습니다 칵테일이 나오면서 액자를 DP해주길래 깜짝 놀랬습니다 나가기전에 유리바닥을 걸어봤는데 킹스베케이션에서 보는 두두 정수리는 역시 아찔하더군요 늦잠을 자는 바람에 바로 호텔을 떠나기 아쉬워 레이트 체크아웃을 요청했는데 운 좋게도 상황이 들어맞아서 허락을 해주셨습니다 감사합니다 4층에는 피트니스사우나수영장이 있었고 피트니스에서 러닝머신 및 자전거 기계를 탔는데 제가 달릴 때마다 화면이 따라 바뀌는 기계를 처음 본지라 신기해하며 재밌게 뛰다왔습니다 그리고 사우나가 개인적으로는 가장 인상깊었습니다 저는 개인적으로 충격적일만큼 좋았습니다 보통 호텔에서 사우나가 있어도 그냥 꺼두고 안하는 경우가 많은데 건식습식 사우나가 완비되어 있고 탕도 냉탕온탕열탕으로 3개가 있었는데 이것저것하며 30분 정도 지켜본 바로는 각각 208370432에서 02 공차로 관리될만큼 철저했었습니다 개인적으로 당근케이크 다음으로 기억에 많이 남았습니다 와이프한테 허겁지겁 설명했는데 아무래도 여자 사우나는 남자 사우나와 설비가 다른 것 같았습니다 와이프 설명으로는 냉탕온탕건식사우나 이렇게 있었다고 합니다 수영장의 경우는 그랜드머큐어에 비해 아쉬웠는데 수영장의 컨디션이 나쁜게 아니라 가족단위 투숙객이 많다보니 조금 혼잡한 경향이 있었습니다 이 부분은 저희가 아직 아이가 없어서 느끼는 주관적인 부분이고 언젠가 아이가 생기면 오히려 이런 부분이 장점이 될 수 있겠다 싶었습니다 체크아웃 직전에 아쉬워서 라운지에서 티타임을 가졌습니다 간단한 다과가 준비되어 있었고 전날과는 다르게 주말 이용객들이 많이 체크아웃한 상황이라 한결 여유있게 쉬다 나왔습니다 노보텔 스위트는 5성급 호텔에 걸맞은 서비스와 시설을 보유하고 있습니다 제가 가봤던 그랜드머큐어와 비교하자면 노보텔스위트는 좀 더 아이들과 함께 하는 34인 가족에 특화되었지만 둘이서도 호텔을 즐기기에는 전혀 손색이 없는 훌륭한 호텔이었습니다 또한 점차 자리를 잡아가는 스카이킹덤과 주변시설들 또한 앞으로가 더 기대되는 호텔이라고 생각합니다 일상에서 벗어나 가족과 함께 호캉스를 즐기고 싶으시다면 이 호텔을 추천합니다,2018-06-01,
4,Jiyoung W,50,아이파크몰이랑 가까워 먹거리 볼거리 즐길거리 다 있네요 스위트룸 컨디션도 좋았고 한강뷰도 생각보다 좋았고 직원도 친절하시고 다 좋았네요 맘아이캔두패키지로 다녀왔는데 키즈카페와 버거 구성도 마음에 쏙 들었답니다,2018-06-01,
5,수지 김,40,평소에 호텔에 관심이 많아서 같은 도시 내에서도 많이 다니는 편인데 드래곤시티가 새롭게 오픈했다는 소식을 듣고 가봤어요 객실에 간단하게 조리가 가능하도록 미니주방이 갖춰져있어서 좋았고 한강이 보이는 곳으로 예약해서 그런지 밤에 야경도 예뻤어요 아침에는 티를 마시면서 여유있는 시간을 보내고 왔어요 나머지 3군데 호텔도 마저 가보려고 해요,2018-06-01,
6,m0nica1216,50,주말에 혼자 쉬러 방문했습니다 객실크기는 혼자나 둘이 쓰기 적당하고 샤워가운이 부드럽고 포근해서 너무 좋았습니다 칫솔치약도 무료로 구비되어있고 딱 필요한 것들만 있어서 잘 쉬다왔어요 프론트 직원들도 친절했고 로비도 이쁘고 전체적으로 만족합니다,2018-06-01,
7,Yoon Y. Lee,40,조식과 서비스 모두 예상대로입니다 다만 사람이 많아서 좀 붐비는 경향이 있었네요 다음에 다시 찾을 가능성은 70정도입니다,2018-06-01,
8,Gaon H,50,구로에서 숙박을 해야할 경우 신라스테이 종종 이용하는데 갈때마다 가격대비 깔끔함과 편의성에 만족스럽게 이용하네요,2018-06-01,
9,sejeje,50,호텔 도착하니 아늑해보이는 로비와 배정받은 객실의 침구가 너무 푹신하여 편안히 투숙할 수 있었습니다 Cafe 쌀국수는 더할 나위없이 맛있고 직원들의 서비스 마인드가 아주 좋은 호텔 다음에 또 이용하러 올께요,2018-06-01,
10,Mihyun S,50,평소 신라스테이 자주 이용하는데 구로도 좋네요 어느 신라스테이를 가더라도 모든 직원들이 친절하고 가격도 괜찮아서 만족하고 있습니다,2018-06-01,
