,nickname,score,review,stay_date
0,lilyseul,50,인테리어도 너무 예쁘고 감각적 !! 사진 찍기에도 참 좋은 곳이에요. 헬스장도 좋아요^^ 굿 코로나가 심해지기 전이었다면 수영장도 가보았을텐데 아쉬울 정도~ 다음 번에도 투숙하고 싶어요!,2021년 7월
1,Wang Seong L,50,시설 너무 깔끔하고 직원들도 항상 웃으면서 인사주시고 다른 5성급 호텔보다도 더 좋은 기억 가지고 갑니다. 서울에서 숙박한다면 무조건 다시 여기로 오고싶어요!!,2020년 10월
2,강영주,50,체크인할때 도와주신 직원분 이재석?님으로 기억하는데 너무 친절하시구 호델부대시설관련 설명도 너무 잘해주셔서 감동이었어요~넘 감사합니다 그리고 호텔 직원분들 눈 마주칠때마다 인사해주시고 필요한거 있냐며 먼저 말걸어주셔서 인상적이었네요. 쾌적하고 기분좋게 머물다갑니다,2021년 7월
3,주은 여,50,인테리어는 감각적이고 뭐하나 놓칠게 없어요 섬세하게 신경쓴 티가 납니다! 체크인하는데 얼마전에 신분증 확인하며 얼마전에 생일인거 캐치하시더니 룸업글해주셨어요 ! 프론트에 세라님?? 너무친절한 응대에 감동받았습니다. 다음에 또 올거에요!!,2021년 6월
4,Trip651027,50,호캉스 알아보다가 요즘 핫하다는 몬드리안 호텔 선택했어요. 주차가 편해서 첫인상이 좋았어요. 체크인 대기가 좀 있었는데 대기장소가 넓고 앉을 곳이 많아 기다릴만 했어요. 야외수영장이 역시 핫플레이스더군요. 젊은이들 놀기 좋은데 저는 마음이 젊어서 재밌게 놀았네요 ㅎ 호텔 컨셉이 몬드리안 추상화에 맟췄는지 인테리어가 예술적이었어요. 재방문 의사 완전 있습니다~,2021년 7월
5,Lovely joo,50,너무 바쁘고 정신없던차에 칭구랑 휴식하러 갔어용. 제가 먼저 첵인하러 도착했는데 핸드백엔 지갑이 없었공😭 너무 놀라 어쩔줄 모르고 있었는뎅~ 컨시어지 찬님이 그런저를 너무 친절하게 챙겨주셔서 후기를 안남길수가 없었어용. 일단 타고온 택시분께 침착할수 없던 저와달리 친절히 다시 와주셨음 하고 부탁을 드렸고 1층에서 기다리는 내내 생수도 가져다 주시공 타고온 택시올때까지 기다려주시공. 제가 집까지 다녀와야 했기에 돈없는거 아시공 본인 카드까지 빌려주시면서 택시타고 갔다오라고 하셨어용!!!😍 다행히 제가 캐리어 끌고 나오면서 집앞에 지갑을 떨어뜨린 거였공. 택시 아저씨께도 보상을 해드렸공 컨시어지 찬님은 따로 원하시지 않으셔서 이렇게 후기 남겨용. 호캉스 조아해서 여기저기 마니 다니는데 너무 감사했어용~~👍😍 담에 또 놀러 가겠습니당~~😁👍👍👍,2021년 5월
6,Navigator758955,30,"객실 종류: City View Room  객실내에서 조용하고 편안한 휴식을 원하는 사람들에게는 적합하지 않다. 대신, 야외 수영장, 바, 식당, 로비등에서 활기찬 분위기를 즐기고 싶은 사람들에게 적합한 호텔이다.  야외 수영장에서의 음악소리가 크지는 않지만 야외수영장 개장시간동안은 계속 들린다. 그리고 객실내의 시설물들도 대체로 사용하기에 불편하다.  몬드리안 호텔이 아코르 호텔 계열에서 프리미엄급으로 분류되어 있는데, 몬드리안 서울 이태원은 객실만 봐서는 프리미엄으로 보기는 힘들고, 이코노미와 미드스케일 사이 어디쯤으로 봐야 할 것 같다. 다만 부대시설까지 같이 고려한다면 미드스케일과 프리미엄 사이 어디쯤으로 봐도 될 것 같다.  * 좋은 점 - 로비를 중심으로 한 1, 2층의 화려하고 생동감있는 공간과 식당, 바. - 지하에 소규모 상가가 있어서 편의점과 식당 몇개와 빵집이 있다. - 이태원에 걸어갈 만한 거리여서 늦게까지 이태원에 볼일이 있다면, 이용해볼만하다. - 핸드폰을 등록하면 체크인할 때 줄을 서지 않아도 된다. 다만, 번호를 고정된 패드에 직접 입력하는데, 번호가 노출될 우려는 있다.  * 단기적으로 신속하게 개선했으면 하는 점 - TV 리모컨 반응 속도와 TV 채널 전환 속도가 너무 느리다. - 객실의 화장실 변기, 의자, 전등 스탠드 등이 한쪽으로 기울어져서 이용할 때 마다 흔들린다. 수선이 필요함. - 객실내 스위치에 설명이 부족해서 어디 불이 켜지는지 눌러봐야 알 수 있다.  * 장기적으로 개선했으면 하는 점 - 샤워하고 나면 샤워실 문 안쪽에 물이 많이 맺히는데 그 문을 열면 물이 바닥으로 떨어진다. 그 바닥에 물이 떨어질 경우에 할 수 있는 건 수건을 까는 것 밖에 없고, 문제는 수건을 깔아두는 그 바닥이 세면대, 샤워실, 화장실을 이용할 때 동선이 겹치는 곳이라 객실 입구 시설 사용이 힘들어진다. - 좁은 객실에 비해서 시설물들의 공간 활용이 효율적이지 못하다. 세면대는 너무 넓어서 주변에 소지품을 널어둘 공간이 부족하고, 냉장고장은 낭비되는 공간이 많다. - 서랍은 힘을 줘야 열리고 손잡이도 잘 잡히는 편은 아니라 여성 투숙객들의 손톱이 상할 가능성이 높아 보인다. - 화장실의 휴지걸이 위 핸드폰 거치대가 작아보인다. - 변기에 비데가 없다. - 엘리베이터가 3개인데, 대체로 1분정도 기다려야 한다. - 방안 온도를 올렸는데, 실제로는 변화가 없다.",2021년 7월
7,Nam yeowon,50,생일기념으로 놀러왔는데 체크인하는시간이 오래기다렸지만. 그걸잊을만큼에 체크인 서비스를 해주신 박현희님 너무감사해요. 방 뷰도 너무좋았고 좋은기념일 보냈습니다. 감사합니다 :),2021년 6월
8,심언니,50,몬드리안 핫하다고해서 1522 호에 딸과함께 보내게 되었는데 호텔도 좋은층 배정해 주시고 좋았는데 방안 환풍구에서 소음으로 인해 잠을 못자게 되었습니다 호텔측에 문의했더니 다른방으로 바꿔주신다면서 직원분을 보내주셨는대 밤도 늦고해서 그냥 조금 참지하는 마음으로 잠을 좀 설치게 되었지만 직원분께서 대신 다음날 레이트 체크인도 해주시고 마지막 까지 애써주셔서 진심 감사하다고 꼭 전해주고 싶네요(남자직원분)  얼마나 친절하신지 수영장으로 키전해주신 여자 직원분 포함해서 몬드리안 직원분들 정말 다녀본.호텔중애 최고입니다👍👍  다음번에 꼭 한번 다시 가구 싶고 지인들에게 추천해주고 싶은 호텔이에요  진심 감사드립니다 몬드리안 번창하세용👏🏻👏🏻,2021년 6월
9,견공주,50,시설도 깔끔하고 너무너무 좋았어요 부대시설도 좋았고 가장 좋은점은 어쩜 모든 직원분들이 이렇게나 친절하신지 대화 나누는 분들 마다 친절 베풀어주셔서 내내 기분 좋게 놀다가 갑니다! 이번엔 엄마랑 단둘이 호캉스 왔는데 다음엔 친구들이랑도 오고 남자친구랑도 오려구요. 재방문 의사 200퍼센트!!! 정말 사소한 부분들에서 보이는 서비스 + 친절에 감동 받았어요. 조식도 너무 맛있게 잘 먹었습니다. 조만간 또 뵙겠습니다 별점 다섯개 만점에 백개❤️,2021년 6월
10,juana1004,50,1704호에 투숙했던 고객입니다. 체크인 할 때 부터 너무 친절하게 대해주셔서 너무 감사했습니다. 명찰이 없어서 이름을 못보았는데 긴 포니테일 머리에 남색 유니폼을 입고 갈색가방을 들고 계신 지배인님에게 너무 감사했습니다. 친절하게 객실 방향도 안내해주셔서 첫방문이 잊지못할 방문이였어요. 예쁜 손편지로 두번 감동을 시켜주시다니 ㅠㅠㅠ 재방문율 100% 200% 입니당! 벌써 다음 예약 날짜를 정하고 있어용!! 다음에 또 뵐게요:),2021년 5월
11,Choeun Park,50,"생긴지 얼마안되서 그런지 깨끗해서 좋았어요! 체크인하고 객실 올라가서 문열고 들어가자마자 말끔히 정돈되어있고, 미니바도 다양하게 잘 구비되어 있어요! 객실도 뷰 좋은 곳으로 배정받아 더 기분 좋았습니다^^ 중간에 타올이 부족해서 요청드렸더니 빠르고 친절하게 갖다주셔서 정말 감사했습니당^^ 체크인하는 순간부터 체크아웃 할 때까지 정말 만족스러운 호캉스였어요ㅎㅎ 조만간 또 숙박하려구요~~ 잘 놀다 갑니당:)",2021년 6월
12,bag1kis2,50,"지인에게 선물을 받아 호캉스를 하게 되었습니다. 위치도 이태원, 남산, 해방촌과 가까워서 좋았으며 호텔 내부 시설과 다양한 편의시설, 레스토랑이 있어서 호캉스를 제대로 보낼수 있었습니다.  내부 인테리어는 젊음과 고급의 조화라고 생각이 듭니다. 예쁜 호텔이라서 그런지 여자들끼리 호캉스 하는 모습을 많이 봤습니다. 그리고 수영장과 헬스장 시설이 매우 좋습니다.",2021년 5월
13,tton1432,40,야외수영장은 아직 오픈을 안해서 실내 수영장만 이용했는데도 너무 만족도 높았습니다. 조식도 맛있고 직원분들도 너무 친절하시고 좋았어요! 또 가고싶어요,2021년 5월
14,lkhg2020,50,"새로 리모델링을 해서 그런지 깨끗한 건물이었고, 조식도 마음에 들었습니다. 사우나도 사람이 거의 없어서 잘 사용했구요. 호캉스로 추천드립니다.",2021년 5월
15,YeWon M,50,"한달 간 서울에 있는 5군데의 아코르 계열 호텔에서 머물렀습니다. 그 중 가장 편안하고 즐거운 경험을 한 곳은 단연 몬드리안입니다. 감각적인 인테리어와 친절한 직원분들, 편안한 선베드가 있는 예쁜 수영장과 훌륭한 규모의 피트니스, 저녁 후에 지하 아케이드에서 눈요기도 하고 큐레이션이 훌륭한 아크앤북에서 책을 한권 사서 숙박 동안 틈틈히 읽으니 1박2일을 알차게 보낼 수 있었습니다. 방은 넓지 않았지만 깔끔했고 요청한 공기청정기와 가습기도 비치해주시고 침구도 편안해서 잘 잤습니다. 소음이 있다는 후기가 있길래 조용한 방으로 부탁드렸더니 코너룸으로 배정해주셔서인지 조금의 소음도 없었습니다. 작년 오픈 이래로 즐겨 찾고 있는 클레오의 맛있는 음식은 더 할 나위 없었지요! 다음번 투숙때에는 코로나 시국도 좋아져 늦은 시간까지 프리빌리지에서 여유롭게 야경을 즐기고 싶네요.",2021년 5월
16,Yunjin cho,50,연인과 와서 먹고 즐길 수 있는 호텔입니다. 방은 약간 작지만 인테리어는 멋져요! 클레오과 프리빌리지바를 꼭 이용해보시길!,2021년 5월
