,nickname,score,review,stay_date
0,현지 김,50,삼박자가 다 맞고 직원들도 다 친절하셔서 편안하게 쉬었다 갑니다 제주도여행때 신라스테이 좋았어서 천안여행때도 예약했는데 만족이에요,2021-07-01
1,wwawwa,50,천안에서는 여기 말고 갈때가 없습니다 친절하고 깔끔하고 좋아요 조식도 좋고요 접근성도 좋아서 다른 지방으로 넘어가기도 수월하고 좋네요 추천하니다,2021-05-01
2,볼볼이,50,매우 청결하고 친절함 작은소파와 책상도 있음 비지니스 호텔 치고 방도 작지 않음 아베다 어메니티도 좋음 편히 잘 쉬다 갑니다,2021-05-01
3,Susan Kim,30,전 높은층 디럭스 패밀리를 이용하였습니다 비용은 비싸지 않아 좋았습니다 다른도시에서 기차를 타고 이동할때에는 호텔까지 다른 교통수단을 한번 더 이용해야하는 불편함은 좀 있습니다 호텔앞에 큰 도로가 있어 밤새 자동차 소리 오토바이 소리가 납니다 침구는 편하고 깨끗하나 함께 갖추어져있는 소파나 책상의자는 얼룩이 져 있어 청소를 하셨다고 해도 좀 지져분해 보여 불편했습니다 주변은 상업지구로 음식점 노래방 모텔등이 많으므로 가족단위위 투숙은 좀 피하시는것도 좋을듯합니다 하지만 주변에 편의점 음식점이 많아서 외부음식을 사다가 간단한 식사를 하기에는 편리했습니다 주차장은 좀 부족한지 출구쪽에도 주차가 되어있어 출차시 정면충돌의 위험도 있습니다,2021-04-01
4,Jaylnsyy,50,갑작스러운 일정으로 방문하게 되었는데 침구도 포근하고 대중교통도 편리하고 좋았습니다 무엇보다 가성비 좋은 호텔이였어요,2020-08-01
5,Luna,50,친구들과 생일파티하려고 알아보다가 근처여서 예약하고 1박투숙하게 되었어요 주말에 투숙했는데 생각보다 가격도 저렴하고 객실크기도 꽤 커서 즐겁게 놀다가네요 다음에 또 기회되면 놀러올 생각이에요,2020-07-01
6,Haru Lee,50,가족들이랑 다른지역가다가 천안에 들린김에 자고가게 되었어요 고속도로 톨게이트에서도 가깝고 바로 옆에 마트도 있어서 위치가 참 좋더라구요 급하게 예약하고 간거라 침구걱정했었는데 포근하고 깨끗해서 좋았습니다 몇가지 요청드릴게 있어서 프런트전화도 했을때도 직원분께서 친절하게 응대해주셨네요 다음에 천안오게되면 또 들리려구요 ,2020-06-01
7,Ej kang,50,주변에 딱히 괜찮은 호텔이 없어서 이번에 호캉스 즐기러 가까운 천안 방문했습니다 호텔 시설도 굉장히 깔끔하고 호텔 직원분들이 정말 친절하셨습니다 저렴한 비용에 편히 쉬고갑니당 다음에 또 방문할게요,2020-05-01
8,jang junhyuk,50,부모님이 천안으로 가신후 아내랑 아이 데리고 갈때는 괜찮은데 재우고 싶어서 이곳저곳 다니다가 신라스테이 천안 처음간게 작년봄 일년좀 된거 같은데 침대는 여전히 누우면 바로 잠들정도로 아주 맘에듬 로비도 다른 신라스테이 보다 넓은거 같고 방도 넓음 직원들도 친절하고 다만 굳이 뽑자면 냉난방이 시원시원하지 못하는그거 빼고는 잘때마다 만족하고 돌아옴 앞으로도 자주 방문할수 있게끔 되었으면 좋겠네요,2020-05-01
9,shanxii,50,요즘 코로나 때문에 걱정 많이 했는데  입구부터 한명 한명씩 열체크도 하고 룸 도 청결해서 좋았습니다 밑에 글 보니깐 도로 반대편이 조용하다고 써 있는데 전 도로쪽에서 숙박했는데 괜찮았습니당 그리고 호텔 바로 뒷쪽으로는 먹거리 놀거리 많은 두정동이 있어서 완전 좋았어요  그리고 조식  쌀국수 꼭 드세요  완전 강추 별 다섯개 입니당 위치며 가격이며 직원들도 너무 친절하시구 완전 만족 했어요 ,2020-05-01
10,hibidiman,50,코로나가 걱정이라 선택한 신라스테이천안 패밀리객실이 있어 저와같은 어른둘 아이가 있는 가족은 최고입니다 푹신한침구류와 신라라는 이름이니 위생은 검증되었겠죠 깔끔하고 친전할 직원들도 좋았습니다 천안에 온다면 재방문 무조건 입니다 독립기념관까지 멀지않아서 좋습니다,2020-05-01
11,Jeongkihun,50,코로나 때문인지 한명씩 다 체온측정하고 입실해서 믿을 수 있고 직원들도 친절해서 좋았습니다 생각보다 방도 넓고 깨끗했으며 시티뷰도 이뻤습니다 천안에 갈 일이 생긴다면 다시 방문하고 싶습니다,2020-03-01
12,Xtrabug,40,조금 걸어가면 먹거리 많은 두정동에 갈수 있고 근처에 모텔은 많이 있지만 모텔들 보다 청결함에서 따라올수가 없죠 그만큼 비싸요 ,2020-03-01
13,ddunddu,50,다른 신라스테이 지점보다 객실이 훨씬 넓은 것 같아서 답답하진 않았습니다 시설도 낙후되지 않아서 이용에 불편한것도 없었구요 이동동선이 모두 근처에있어서 접근성도 좋고 침구도 푹신하고 따뜻했습니다 호텔 직원분들도 친절하고 체크인 전에 요청한 부분들은 다 적용해주셔서 좋았습니다,2020-02-01
14,석희 이,50,깔끔한 공간과 식사 좋았습니다 많은 사람들과 함께 행사를 진행한다면 추천합니다 회의실의 사용도 좋았고 많은 객식의 상태도 좋았으며 특히 이렇게 좋은 공간에 식사가 더 좋게 제공되어 좋았습니다 깔끔한 공간과 식사 좋았습니다 많은 사람들과 함께 행사를 진행한다면 추천합니다 회의실의 사용도 좋았고 많은 객식의 상태도 좋았으며 특히 이렇게 좋은 공간에 식사가 더 좋게 제공되어 좋았습니다,2020-02-01
15,hoonhoonnam,50,2주전 급하게 천안에 볼 일이 있어 신라스테이에 방문하였습니다 예약도 없이 방문하게 되었지만 친절한 프론트 직원들의 도움으로 인해 신속하게 예약진행과 체크인을 할 수 있었습니다 이름은 기억 안나지만 프론트 남자분이 굉장히 친절 하셨어요  서울의 다른 신라스테이 보다 객실이 굉장히 넓고 신라라는 브랜드의 걸맞게 침구류와 청소상태가 완전 대박 좋았어요 호텔 주변으로 식당과 편의점이 너무 가깝게 있어서 너무 편안했습니다 조식도 훌륭했지만 가지수가 조금 작은게 아쉬웠습니다 프론트 직원이 추천해준 시간에 방문하니 여유롭게 조식을 즐길 수 있었습니다 나중에 나갈 때 보니 사람들이 많아서 대기줄도 있긴 있더라구요 조식은 빨리 가서 먹는 게 좋을 것 같습니다 다음에 다시 천안에 올 일이 생긴다면 1초의 고민없이 신라스테이 천안에서 숙박 할 예정입니다 신라스테이 천안 칭찬합니다 ,2020-01-01
16,태희 김,50,집에서 가까운 호텔이라 들려봤어요 또오고싶어요 깔끔하고 좋아요 3층 뷔페도 딱 필요한 음식만 있고 맛있고 깔끔해서 맘에듭니다다만 탄산음료 가격이 사악한건 좀 별루네요 아이들없이 가끔 남편과 분위기 잡고 싶을때 집근처니 들리면 좋을꺼같아요 요즘 맥주도 무제한이라니 회사회식으로도 좋고 친구들과 룸파티도 좋을것 같은 깔끔한 곳입니다 추첩합니다 ,2019-12-01
17,rlaskaaud,50,천안에 출장으로 인해 호텔을 알아보다가 신라스테이를 알게 되었어요 천안에 이런 비즈니스호텔이 있는줄 몰랐는데 외국인도 많고 로비 분위기도 쾌적하고 전체적으로 객실이 넓고 깔끔한 분위기 다만 주차장이 좁아서 외부에 세웠는데 조금 불편하긴 했지만 직원분들의 친절한 안내가 인상 깊었어요 다음 출장때도 또 갈 생각있음,2019-08-01
18,먹슐랭,40,여전히 룸은 비좁았다 외국인 관광객이 늘면 늘수록 더 별로인 듯 하다특히 중국인 관광객 수십명이 로비를 점령할 때는 정말최악이다  룸컨디션은 여전히 깔끔하고 좋다 쿠션은 여전히 높았고 건식욕조는 늘 불편하다  조식은 정말 먹을게 없다 정말 이것마저 없으니 조식은 너무 간단해진듯 하다아쉽다 1906월  룸컨디션은 깔끔하긴 하지만너무좁다 캐리어를 필 공간이 없을정도로  베개를 포함한 쿠션이 너무 높아 목이 아프다  건식 욕조라 적응이 되지 않는물론 외국인 손님이 많으니 어쩔 수 없을 듯 하긴 하다  조식은 그럭 저럭 먹을만 1904월,2019-06-01
19,주니네,50,비즈니스 호텔로 외국인들이 많이 보였다 접근성은 좋아보이지 않았다 별도의 히터가 비치되어 있었다 헬스장은 꾀 넓은 시설에 많은 헬스기구들이 비치되어 있었다 천안에서는 변두리라고 하였다 1박 132000,2019-04-01
20,BOXB0X,50,저렴한 가격에 잘 이용하고 왔습니다 룸 컨디션도 좋고 가격에 비해 방도 넓고 따뜻해요 조식도 괜찮았어요 가성비 좋습니다,2019-02-01
21,sojini_ini,40,회사 출장일정으로 급하게 천안에 내려왔다가 편하게 쉬고갑니다 신라스테이 동탄은 몇번 이용해봤는데 천안은 처음이었어요 침구 푹신한건 이미 알고있었고 조식도 가짓 수가 많진 않지만 든든하게 먹을 수 있는 정도입니다 스프랑 쌀국수가 맛있어요 추천합니다 다음번에 또 내려올 일이 있다면 신라스테이 천안 이용하려구요,2019-01-01
22,JULIA,30,친구들과 브라이덜 샤워를위해 묵었던 호텔입니다  천안역에서 가까운 위치에 있어서 접근성이 좋았어요 친구들이 찾아오기 편했다고 하더라구요 룸컨디션도 좋고 어메니티나 수건도 충분히 채워져있어서 투숙하는 데 불편함없이 잘 쉬다왔습니다 조명도 적당하고 분위기도 차분해서 사진이 예쁘게 나오더라구요  굉장히 맘에 들었습니다  브라이덜 샤워 하실분들 신라스테이 천안 추천합니다,2018-12-01
23,sungwoo Cho,50,이번이 처음 방문이었습니다  천안버스터미널에서 택시타고 이동했고요 택시비는 4000원 정도입니다 호텔 바로 앞이 버스정류장이어서 편리했고요  근처에 lotte mart가 가까이 있어서 편리했고요 다만 너무 유흥가라 밤에 아이들데리고 나가는건 안해야겠더라고요  로비 방 모두 다른 신라스테이보다 넓었고요 청소 상태 좋았어요 직원들 모두 친절하셨고요  욕조 있는 방을 선택했고요 수압이 조금 낮은거 뺴고는 욕실도 good  조식은 저는 보통이었어요 이건 뭐 개인차가 있는거니까 참조만 하세요 저는 한식파라 한식 많은데가 좋거든요 양식 쪽 좋아하시는 분들은 또 좋아하실 듯  재방문 의사 100,2018-12-01
24,Eomseokdae789,40,천안터미널에서 버스를 타고 가기 좋은 위치에 있어요 저같은 뚜벅이들은 접근성이 좋아서 찾아가기 편리할거에요 웬만하면 대중교통 이용하시는게 좋을겁니다 주차장이 비교적 협소해요 주말 저녁에는 주차장이 만차인지 남자직원분들이 발렛주차를 직접 하시더라구요 추운데 고생이 많으세요  조금 아쉬웠던 부분은 난방만 되는 기간이라 방안에 30도여서 잠을 제대로 잘 수가 없었어요리셉션데스크 몇 번전화했으나 냉 난방기 전원을 끄고 창문을 열라는 방안제시만 해주었습니다 더위를 많이 타는 사람에겐 좀 힘들었어요  다른 부분들은 다 좋았습니다 신라스테이 천안 또 이용하고 싶어요 ,2018-11-01
25,Morrenavi,40,예약없이 현장방문한 곳입니다  린넨을 담당하는 사람들까지 모두 친절하고 리셉션및 내부직원 모두 친절합니다  그리고 매우 깨끗합니다  어중간한 환절기 에어콘과 히터의 갈등에 있을때 리셉션은 확실한 방안을 제시해줍니다  제 방문 의사 있습니다 지금 11월에는 바비브라운 쉐도우 패키지 상품이 있습니다,2018-11-01
26,dryji2299,20,일단 전반적인 부분은 좋았지만 안타까운 부분이 많았네요 객실 내 핸드폰 충전기가 없어서 프론트에 맡겨야하는 어려움이 있었고 객실이 큰 길 옆이라 많이 시끄러웠습니다 또 주차는 정말 최악이었습니다 객실이 그렇게 많은데 지하주차장이 2층 밖에 없고 밖에 자갈밭에 주차선도 없는곳에 세워둬야하는게 밤새 마음에 걸리더라구요 호텔까지와서 바깥에 차를 대는게 불쾌했어요 그래도 조식은 상당히 깔끔하게 잘나왔습니다 종류도 다양하고 음식 리필도 금방 되었구요 대부분 만족하지만 주차와 휴대폰 충전문제가 만족스럽지 못했습니다,2018-09-01
