,nickname,score,review,stay_date
0,송정훈,50,"주변 상권이 먹자골목이라 주변에 먹을곳이 많아요
깨끗하고 깔끔하지만 방음이 조금 아쉬운것 같아요
주차도 용이한 편 입니다.",2021-03-01
1,yeona,50,"서비스 친절하고 시설 및 침구류 깨끗하고 위치적으로도 너무 좋음 무엇보다 아베다 어메니티 너무 좋아요
자주 애용 할거에요",2021-04-01
2,Jeonghwa,50,"창밖으로 공원이 보이는 뷰로 시야가 틔여서 답답하지 않았구요, 마침 오늘 비오는 날이아 비 내리는 모습을 창밖으로 볼 수 있어 참 좋았어요.

객실은 조용하고 쾌적해서 매우 편하게 쉬었어요. 복도에서 나는 소리는 좀 들렸지만 객실 소음은 전혀 없어서 불편함 없이 지낼 수 있었어요.

조식도 객실로 가져올 수 있어서 요즘 시국에 안전하게 식사했어요.",2021-04-01
3,moody,50,"룸컨디션 깔끔하고 좋습니다. 시티뷰라서 주변 뷰가 좋은편은 아니지만 창문 옆에 길게 있는 소파와 조명이 넓고 포인트되서 마음에 들어요.
화장실도 욕조있는 룸으로 썼는데 꽤 넓은 편이에요.
로비에 마스크쓴 곰돌이가 인상적이었습니다.",2021-03-01
4,Taegyu won,50,둘이 쓰기에 방 크기가 넉넉하고 너무나도 쾌적하고 좋습니다! 주차공간도 넉넉하여 주차하기 수월했네요. 다음에도 재방문할게요!,2021-02-01
5,Saaaa333,50,"주변에 음식점이나 카페도 많고
숙소는 크진 않지만 깔끔하고 좋아요
화장실도 넓어요
잘 쉬다 갈게요 재방문 의사있습니다",2021-02-01
6,CHOi,50,자주오는 신라스테이 항상 잘 이용하고있습니다 청결하고 인근에 먹거리도 많고 공원까지 아침조식및 헬스장 이용까지 해봤는데 최고네요,2021-02-01
7,LDY,50,"아이들과 머무는거라 불편할까 걱정했지만 편하게 머물수 있었네요
도시락 조식도 좋았고 여러모로 만족스럽게 머물다 갑니다",2021-01-01
8,심쭈니,50,직원분들도 친절하고 비지니스 업무하러 오시는 분들에게 최적화 된 호텔인 것 같네요! 깔끔해서 자주 방문합니다!앞으로도 자주 오겠습니다~,2021-01-01
9,hany0726,50,신라스테이 깨끗하고 조용하고 좋고 직원분들도 친절해요 청소하시는 분들도 너무 좋구요 자주 묵고 있어요 몇년째 묵고 있어요,2021-01-01
