,nickname,score,review,stay_date
0,Jae,50,작은 테이블도 있어서 뭐 먹기에도 좋구요  어메니티도 구비잘되어 있어요  적절한 가격에 가성비 좋다 생각합니다  잘 놀다갑니다,2021-07-01
1,BBBJJJHHH,50,7월 중순에 4박정도 이용했습니다 신라스테이를 고른 이유는 평균 1박에 8만원 정도하는 합리적인 가격과 신라 라는 브랜드 때문이었는데요 결론적으로 제 기대에 99프로 부합하는 멋진 휴가를 즐길 수 있었습니다 지하 주차장이 꽤 넓어서 편했고 건물 내부 인테리어도 모던하고 멋졌습니다 직원분들의 응대도 친절하고 신속했습니다 객실 내부는 말할 것 없이 깔끔했구요 불편한 것은 하나도 없었습니다 다만 코 앞이 공사장 뷰라서 커튼을 계속 닫고 있었습니다 사실 부산이나 제주도가 아니면 뷰가 크게 의미가 없는것 같아서 저는 크게 문제가 되지 않았습니다 다음에도 또 방문하고 싶습니다,2021-07-01
2,Leg,50,볼일이 있어 기대 없이 호텔을 예약을 하고 왔는데 정말 잘 쉬다 가네요  시국이 시국인지라 나갈수도 없고 자유롭지도 않아 답답 할줄 알았는데 뷰도 나쁘지 않고 배달음식을 시켜 정말 괜찮은 1박 하고 갑니다 정말 소소하게 나름 나쁘지 않게 머무르기를 원한다면 신라스테이 추천드립니다 ,2021-07-01
3,ming,40,생각보다 조금 작지만 침대가 푹신하고 역이랑 편의점이 가까워서 좋아요 에어컨 빵빵하고 가볍게 호캉스하기 좋은곳,2021-07-01
4,더블버거,50,아주좋습니더 모든 서비스 만좃합니다 감사했습니더 특히 객실 창소가 아주아주 맘에 들었습니더 모두 건강하세요 또 봐요 먿,2021-06-01
5,Hyeseong Kim,50,구로디지털단지 근처에는 생각보다 34성급 업스케일 호텔이 많은 편인데 신라스테이 구로 롯데시티호텔 구로 포포인츠 바이 쉐라톤 서울 구로 노보텔 앰배서더 독산 신라스테이 구로는 상당히 합리적인 가격을 자랑한다  투숙객 대상으로 조식 할인 프로모션도 제공되고 있어 TO GO 도시락 이용시 8000원 뷔페 이용시 10000원이라는 매력적인 가격에 든든한 아침 식사를 즐길 수 있다 조식을 먹을 때 항상 아이스 카페라떼를 내려 먹는데 개인 취향이겠지만 마셔본 호텔 조식당 아이스 라떼 중에서 손꼽을 정도다  요즘들어 여러차례 숙박을 하게 되었는데 개관한지 몇년이 지나서 어느 정도 세월의 흔적이 보이기는 하지만 이를 상쇄할만큼 전문적인 직원분들이 항상 친절하게 대해주시고 번거로운 요청에도 편안하게 지낼 수 있도록 배려해주신다 특히 자그마한 피드백에도 귀 기울여주시고 항상 개선된 모습을 보여주셔서 정말 감사하게 생각한다 김라미 지배인님 오스틴 지배인님 감사드립니다  객실은 조금만 더 넓었으면 좋지않았을까 하는 아쉬움이 있지만 다른 신라스테이와 같이 군더더기 없이 깔끔하다 브랜드의 통일성이 유지되니 어느 지점을 가든 이미 와본적이 있는 듯한 친근감이 든다 토요코인 하면 화려한 이불이 떠오릇이 말이다  개인적으로 욕조가 있는 객실을 선호하는데 바닥에 물이 너무 튀어서 아쉽다 이건 모든 신라스테이의 객실 구조가 그럴수 밖에 없는 부분이라 구로점의 문제는 아니다  구로디지털단지의 맛집인 깔깔거리 근방이여서 먹을 것 걱정도 필요없는 호텔이라 구로디지털단지역 근방 숙소로 추천한다,2021-06-01
6,hanna,40,출장이 잦아서 구로디지털단지 근처에서 숙박을 자주하는데 신라스테이는 어느지점이나 통일된 실내분위기에 깔끔하고 정갈한 느낌이어서 좋네요 침구도 푹신하고 어메니티도 호불호갈리지않는 향이라 맘에듭니다 직원분들도 요청사항에 친절하게 대응해주셔서 편하게 지냈습니다 다만 에어컨 온도조절하고 다시 가동하면 냄새가 좀 납니다 오래되어서그런지 몰라도 에어컨 탈취부분에 조금 더 신경써주시면 좋겠어요,2021-06-01
7,Minsu Park,50,생일을 맞춰서 여자친구와 방문하였습니다 객실 청결도는 깔끔하였고 전체적으로 괜찮았습니다 또한 갑작스러운 요청사한에도 카운터에 계시던 권혁준님께서 매우 친절히 응대해주셔서 만족할만한 숙박이었습니다 다음에 또 방문할 의사가 있습니다,2021-06-01
8,구승미,50,3주년 기념으로 신라스테이 구로점에서 보냈습니다 직장이랑 가까워 어디 멀리 가지않고도 기분전환하고 갑니다 디너도 같이 예약했는데 음식도 괜찮아요 맛있는것만 딱 있는거같은 느낌 직원분들 친절하고 객실 필요한거 말씀드리니 바로 가져다 주셨어요 코로나 관련해서 방역도 철저히 잘 지키는더 같아 안심하고 지내다 갑니다,2021-06-01
9,Soo lee,50,가족들과 잠쉬쉬는용으로 예약했는데 위치도 지하철인근이라 접근성이 용이하고 가격도 합리적이라 좋아요 그리고 인근에 음식점도많아 식사하기도편하네요,2021-06-01
