,nickname,score,review,stay_date
0,Stella,40,시험때문에 서울 올라가서 신라스테이에서 잤다. 처음 방에 들어갔을때는 책상이 작고 욕실 옆에 문이 열 수 있게 되어서 당황했지만 괜찮았다. 그래도 책상은 너무 작았다..조금만 길어도 좋았을텐데..그래도 괜찮은 가격에 이틀동안 아침을 먹고 투고박스로 하루는 점심도 먹었다. 점심 추천 메뉴는 미고랭 파스타 진짜 JMT!! 그리고 초코마드케이크도  점심을 투고박스로 먹으면 8천원에 먹을 수 있다는 것도! 로비도 엄청 예쁘다!!,2021-07-01
1,Junhyeok Kang,50,침대가 푹신푹신하고 습도도 낮고 쾌적했습니다. 욕조도 좋았고 절이 보이는 뷰도 좋았습니다. 근처에 먹을거리와 볼거리도 많았습니다.,2021-07-01
2,Yum,50,"아이둘과 방문했어요^^~ 생각했던 것보다 깔끔하고, 생각했던것 보다 단정하고, 기대했던 것 보다 편안했어요!  주변 박물관 미술과 서점 삼청동 익선동 등 호텔 위치가 서울 여행하기 너무 좋아요! 방학하면 2-3일 더 묶으면서 여유롭게 지내다 가고 싶네요^^!  재방문 의사100%",2021-07-01
3,YHYS,50,깨끗하고 경치가좋아요 위치도 근처여행하기정말좋아요 경복궁투어하기도좋고 지하철역도가깝습니다 바로앞에버거킹도있어야식머기도좋네요,2021-07-01
4,Kwon,50,위치가 좋아서 잘 머물다갑니다 근처에 맛집도 많고 뷰도 나름 괜찮았어요 다음에도 방문하게 된다면 다시 이용할거 같아요,2021-07-01
5,드리머,50,"3번째 방문했습니다. 근처 맛집들이 정말 많고, 룸 컨디션도 좋습니다! 왠만한 곳은 걸어서 갈 수 있는 접근성입니다.광화문 주변 여행에 적합한 숙소입니다.",2021-07-01
6,JUNGMIN S,50,예약확정한지 3분후에 예약 및 요청사항 접수완료 메세지 받음. 체크인시 친절한 설명과 요청사항 반영 완료. 급하게 숙소정할때 언제나 믿고 할 수 있는 숙소.,2021-06-01
7,Yoonjihye,50,너무너무 편하게 즐기다 갑니다. 너무 편하고 뷰가 편하고 침대가 푹신해서 좋았습니다 다음에 또 오고 싶네요 좋습니다 좋아요,2021-06-01
8,choi,50,생각보다 너무너무너무너무 좋아욤 고층은 따로 설명 필요합니다. 따로 설명 안 해주셔서 헤맸습니다. 그거 빼고 시설부분에서는 만족스러워요!,2021-06-01
9,막장,50,조계사 목탁소리에 잠이 솔솔 오네요 조계사 뷰가 훌륭하고 침구류도 푹신하고 편했어요. 꼭 다시 오고싶은 신라스테이 추천합니다,2021-06-01
10,수혜 이,40,처음 이용하는 신라스테이 위치가 정말 좋아요 주변에 맛집 많고 구경거리도 많네요 방 컨디션 좋아요 딱히 불편한건 없네요,2021-06-01
11,kang,50,객실이랑 시설 너무 깨끗하고 편안했습니다. 더운날씨였는데 객실 온도조절도 적절해서 너무 편안하고 어메니티도 아베다여서 향기도 상쾌하였습니다,2021-06-01
12,주연 이,40,굿 잘잤습니다 조식은 아쉽게 별로예요 흐규흐규 우선 kctv가 아니라서 좋았어요(제주는 kctv라서 볼께 없었는데 ㅎㅎ) 편안하게 쉬다갑니다,2021-06-01
13,JW KIM,40,"위치적으로 주변에 인사동, 종각 등 갈 곳이 많이있어서 좋았고 저녁시간 조계사 뷰가 너무 좋았습니다 아쉬운건 중앙난방과 조계사 타종소리..",2021-06-01
14,youn,50,룸컨디션 깔끔하고 교통이 편해서 좋아요 제일 장점인 듯ㅎㅎ 방음도 크게 문제 없어 잘 쉬고 갑니다! 도시락도 잘 먹고 갑니다,2021-06-01
15,juyoung l,50,인사동하고 경복궁 삼청동 가기에 너무 가까워서 좋네요 방도 쾌적하고 깨끗해요^^ 1층엔 스타벅스 주위에 먹거리들이 많아서 다니기 편하고요 주말에 와서 그런지 한적하고 좋았어요 직원분들도 요청사항도 잘 들어주시고 친절하시고요 신라스테이는 어느 지점을 가도 실망시키지 않네요 정확한 시스템에 의한 서비스와 목적에 부합하는 위치는 고민 없이 이번 여행에 재 선택을 하게 되었고 그 선택에 후회가 없네요.,2021-06-01
16,여행조아좋아,50,"처음 이용하는데, 시설도 좋고, 서비스 및 안내도 너무 좋습니다. 위치도 최고구요.. 그래서 다음에도 이용할 계획이 이용예정입니다.",2021-06-01
