,nickname,score,review,stay_date
0,금태현,50,호텔 직원분들 너무 친절하시고 호텔 내부도 너무 깔끔합니다 기회가되면 다시 방문하고 싶어요 해운대도가깝고 오기 너무 편리합니다,2021-06-01
1,Aram,50,직원분들도 친절하시도 깔끔하니 너무 좋습니다 시원하고 향기도 좋고 역시 신라스테이 입니다 너무 좋아요 부모님이랑 함께왓는데 좋습니다,2021-06-01
2,kim si eun,50,해운대 바다 바로 앞이고 지하철역이랑 가까워서 편합니다 깔끔하고 쾌적한호텔을 찾으신다면 강추 드립니당,2021-06-01
3,WONNY H,50,친구들이랑 같이 왔는데 깨끗하고 쾌적해요  합리적인 가격에 묵을 수 있을 수 있어서 너무 만족스러워요  비수기라 그런지 몰라도 시설도 좋고 사람도 많이 없어서 좋았네요  직원 분들도 다 친절하시고 따뜻해요  얼마든지 다시 오고 싶어요 앞으로 제 부산 여행 숙박으 신라스테이가 책임지기로 해요  얼리 체크인도 쉽고 빠르게 할 수 있도록 도와주셨어요 감사해요 ,2021-06-01
4,써니,50,해운대바로앞이라 위치 최상입니다 직원분들 너무 친절하시고 룸컨디션 깨끗하고 좋아요 좋은 가격에 만족도 최상입니다 다음에 또 오게되면 한번 더 올 예정입니다 추천해요,2021-06-01
5,JUNGHYUN L,50,깔끔하고 최신 시설 인테리어도 깔끔하고 모던한 디자인 신라호텔만의 특급서비스 해운대가 바로 앞이라 위치도 가장 좋아요,2021-06-01
6,승연 김,50,가격도 좋고 뷰도 좋고 친구들이랑 오랜만에 놀려구 예약했어요 주변에 맛집도 많아서 이용하면서 편했네요 직원분들도 친절하세요,2021-06-01
7,김은택,50,굳굳굳굳굳굳 정말 좋습니다 아주 좋아요 신라스테이 정말 추천합니다 다음에 또 올게요 저는 학생입니다 그래도 왔어요 유학생입니다 영국에서 약대 다녀요 정말 좋습니다 돈이 정말 싸요 침대도 편해요 라운지가 좋아요 누나들이 예버요 좋아요 ,2021-05-01
8,이사라,50,늘 깨끗하고 합리적인 가격 해운대위치로좋아 얼리체크인도 배려해주셔서 좋았습니다 서비스도 좋고 어메니티도 제가 좋아하는 아베다로 비치되어있어요 늘 부산 올때마다 애용합니다 지금은 코로나로 루프탑이용이 불가해서 아쉽지만 만족하고 좋아요,2021-05-01
9,Sihyeong,50,침대부터 각종 편의시설이 좋습니다 관리상태와 친절도도 우수합니다 특히 해운대의 바다는 아주 경관을 자랑합니다 또 방문하고 싶습니다,2021-05-01
10,나효수,50,룸컨디션 좋고 잠도 편안히 잘수 있어서 좋앗습니다 호텔 가성비로는 해운대앞애서 는 최고아닌가 싶습니다 1층에는 편의 시설을 왠만한건 다 갖추엇고 해운대 앞바다 뷰도 꾀나 좋습니다 해운대 중심부라 걸어서 어디든 갈수잇어 좋습니다 추천드려요,2021-05-01
11,lhw1222,40,오션뷰가 가능하고 깔끔해서 너무 좋은 숙소였어요 일찍 도착했는데 얼리 체크인도 도와주셔서 일찍 방도 배정받았구요 전반적으로 서비스는 너무 좋았습니다 다만 방음은 조금 안좋아요,2021-04-01
12,Joonsoo k,50,객실 이른 얼리체크인도 해주시고 객시상태 청결하고 직원분들 친절하고 좋습니다 그리고 인포데스크분들더 너무친절친절친절하시고 청소해주시는 분들도 너무 친절하셔서 아주 편한게 묵을수 있을거같습니다 객실상태가 생각보다 너무 깨끗해서 너무너무너무좋아여 어네미니도 너도 깔끔하고 고급져서 모든 면에서 만족하고있어요 침대도 아주 편하고 깨끗하고 오션뷰 조경이 너무 너무 너무 좋네용,2021-04-01
13,성서 황,50,친절하시고 여행자를 배려 주셔서 편안한 여행이 됬습니다 재방문 진행의사 100있습니다 배려감사드립니다 다음도 부탁드릴게요,2021-03-01
14,Bumhee,50,오랜만에 다시 방문한 부산 해운대 머물며 지내기로 해서 신라스테이를 선택하였습니다 좋은 룸 컨디션 해변도 가깝고 좋은 숙소에 머물고 갑니다,2021-03-01
15,Pinkmoon,50,오랜만에 찾은 부산 해운대 깨끗한 시설과 친절 응대 매우 만족합니다 위치도 아주 좋네요 코로나가 얼른 사라졌으면 좋겠네요,2021-03-01
16,junhee lee,50,너무 좋습니다 부산 여행시에 꼭 방문하세요 뷰도 좋고 직원분들도 친절하시고 다음에도 또 오고싶습니당 즐거운 여행은 신라스테이,2021-03-01
17,juyeon,50,오랜만에 해운대 방문했는데 숙소가 너무 깔끔하고 직원분들이 너무 친절합니다 바다뷰가 너무 좋아요 정말 추천합니다,2021-03-01
18,은지 김,50,해운대 바로 앞에 위치한 호텔은 우선 찾아오는 경로나 위치가 너무 좋았다 무엇보다 오션뷰 체크인 시간보다 일찍 도착했지만 친절한 안내로 기분좋게 호텔에 들어왔습니다 오션뷰 꼭꼭 오션뷰 하세요 깨끗한 유리창으로 보이는 바다는 여행 시작부터 기분이 좋았네요  직원분들의 친절함과 로비부터 깨끗한 신라스테이는 다음에도 꼭 이용해야겠다는 생각이들었어요,2021-03-01
19,ahreum4812,50,음 룸컨디션 어메니티 다 괜찮았어요코로나로 인란 복잡한상황도 친절한 응대 감사합니다미니바 무료도 좋았구요 낮에는더워서 난감 창문열었더니 또 금방시원해서 만족합니다,2021-02-01
20,LOCOLAB,50,이번에만 세번째 방문이에요 늘 깔끔하고 친절하셔서 좋아요 오션뷰도 좋구요 얼리체크인 무료로 해주셔서 감사합니다,2021-01-01
21,Junghyun Yoon,40,해운대 바로 앞에 위치해서 해운대 구경하기는 좋습니다 겨울철에 난방은 다섯시 이후라 낮에는 방이 좀 춥습니다 룸 컨디션은 보통입니다,2021-01-01
22,satang,50,친절하고 좋아요 깨끗하고 항상 웃는 얼굴로 응대해주셔서 좋아요 위치도 해운대 근처여서 편해요 조금 빨리 도착했는데 얼리 체크인 해주셔서 고마웠어요 다시 부산와도 또 이용하고 싶어요,2021-01-01
23,이은정,50,조용히 혼자호캉스왔는데 좋은추억 남기고갑니다 얼리체크인 서비스도받고 신라스테이 베어도 넘 귀엽네요 감사합니다,2020-12-01
24,Do yeon,50,해운대 주변 5성급 호텔에서 3박을 하고 마지막 하루를 신라스테이에서 투숙하게 되었는데요 룸은 5성급호텔이 크고 컨디션이 좋은게 당연하겠지만 서비스나 직원마인드는 역시 신라 계열사라 그런지 역시는 역시네요 정말 친절하고 먼저 말하기 전에 설명해주는 섬세함이 참 좋네요 5성급 호텔에서 1박당 이곳보다 2배의 투숙비용을 지불하고 마음 상하고 왔는데 이곳에서 응대 잘 해주셔서 정말 좋았습니다 다음에도 부산오게 된다면 또 찾을것같습니다,2020-12-01
25,손영배,50,해운대 바로 앞이라서 너무 좋은 것 같아요 호텔 깨끗하고 조용해서 코로나시기에 안심이됩니다 얼리체크인도 친절하게 도와주셔서 감사합니다,2020-12-01
26,jungmin,50,서비스 친절하구 객실 깔끔하구 재방문의사 100 입니다 해운대 호텔중에서 최신식이며 가격대비 가성비 음식맛도 정말좋네요,2020-12-01
