,nickname,score,review,stay_date
0,냐옹,20,신라스테이는 그래도 깔끔할꺼라 생각하고 갔어요 욕실사이사이타일 때가 껴있고 현관 로비에 먼지와 지저분함 객실도 지저분하고 저렴한거 알고 갔고 잠만자려고 간것도 맞는데 그래도 깨끗하겠지하고 예약한건데 앞으로 다시는 못갈것 같아요 이틀이나 예약했는데 관광하고 최대한늦게 들어왔고 들어가기 싫었던 호텔이에요,2021-03-01
1,George_Korean,10,객실 내부의 액자에 걸려있는 그림이 프레임 바깥으로 떨어져 있었습니다 화장실에서는 지린내와 담배 냄새가 났습니다 모텔에 와 있는줄 알았습니다 소음은 방음이 전혀 되지 않았습니다 옆 방에서 청소를 하는 소리 대화를 하는 소리 복도에서 대화를 하는 소리가 여과없이 들어왔습니다 저는 청력이 그다지 좋지 않습니다 그럼에도 불구하고 이렇게 방음이 안된다는 것은 문제가 있다는 것입니다 특히 예민한 분들은 더 조심하시는 것이 좋을 것 같습니다,2021-02-01
2,hannah_dul_set,50,직원들 모두 친절하게 대해 주셔서 감사했습니다 특히 조식 이용할때와 프론트 방문할때 어느때이든 항상 친절한 웃음으로 안내해주셔서 너무 감사했습니다  다른 후기들을 보고나서는 주차때문에 걱정도 많이 했으나 직원들이 최선을 다하는 모습에 오히려 안쓰러웠습니다 차량을 후문 앞까지 준비해줘서 오히려 저는 더욱 감사했습니다 재방문의사 있습니다 ,2020-07-01
3,...,40,친구들과 처음으로 제주로 여행갔는데 신라스테이로 선택했습니다 프론트 직원들의 친절함 객실 너무 좋았지만 주차하는데 아주 미치겠더군요 직원분들이 안내를 해주셔서 주차는 어떻게든 하긴 했지만 이정도면 주차장에 대해서 대책을 세우셔야 할듯해요,2020-05-01
4,dolkong,50,위치도 좋고 서비스가 좋아 자주 이용하는 신라스테이 직원들도 친절하고 객실도 깨끗해서 늘 만족하며 투숙했는데 최근 투숙 했을 땐 주차때문에 다시는 오고 싶지 않더군요 호텔 규모에 비해 터무니없이 작은 주차시설에 직원들은 이리저리 뛰어다니고 비좁아서 초보운전자들은 절대 주차 못할듯 합니다 주차하는데만 20분 이상 지체됐습니다 주차만 아니면 다시 가고 싶은데 이게 해결될 수 있을지 모르겠네요,2020-05-01
5,전현밍밍,50,주말에 부모님 모시고 1박 투숙했는데 직원들이나 정비 부분에 만족은 100프로였습니다 하지만 주차 공간주차 안내해주시는 분이 계시긴 했지만 주차장에 꽉꽉 들어서다 못해 통로까지 늘어선 주차 공간 부족이 불편했습니다가끔 올때마다 항상 이런 것 같아요 다른 면은 다 만족,2020-05-01
6,리나1,50,제주 시내권 호텔 알아보다가 가격대비 괜찮아 보여서 예약했어요 남자친구랑 같이 간 제주 여행이었는데 직원분들도 너무 친절하시고 시설도 좋았어요  아쉬웠던건 주차하는게 좀 어려웠어요 그래도 직원분들이 안내주셔서 주차를 하긴 했지만 주차장이 좀 좁아보이더라구요,2020-04-01
7,Jay Nam,50,우선 호텔 staffs분들 정말 나이스하게 친절하고 설명도 간결하게 잘 해줍니다 신라스테이는 호텔신라의 전문성이 그대로입니다 신라스테이 제주는 다른 신라스테이보다 로비나 호텔규모가 큰 것 같습니다 객실은 신라스테이 어디나처럼 복사하기 그대로입니다 깔끔하게 잘 정돈되어있고 청결합니다 한라산전망도 시원하게 보입니다 비지니스호텔이라 room amenities는 있을 것만 구비되어 있습니다 노형동 제주 중심지라 근처에 식당 cafe 마트 편의점 등 부족함 없습니다 특히 bedding훌륭합니다 숙면에 도움되었습니다,2020-04-01
8,Hunkim seoul,50,짧게 다녀온 제주로 선택하게된 스테이였는데 위치나 뭐나 매우 만족스럽고 신라스테이는 어딜가도 동일하게 느낌이 비슷해서 더 좋은 것 같아요 후기에서 많이 봤던 스타벅스가 없어졌다고 하셔서 가장 아쉬웠고 번화가라 시끄럽다고 하셨지만 전 못느꼈는데  아침에 청소 소리가 너무 커서 방음이 너무 아쉬웠습니다,2020-02-01
9,SteveCho1979,40,코로나 사태로 조심스러운 투숙이었지만 직원분들 친절하고 투숙도 만족스러웠습니다 다만 객실내 노화된 곳이 보여서 아쉬웠습니다 벽지도 주름지고 욕실 타일도 깨져있고 가구 코너도 곳곳이 까져 있네요,2020-02-01
10,Leean98,10,시설이나 서비스 등은 가격대에 맞게 평범합니다 다만 호텔 뒷 쪽에 큰 나이트클럽이 있는데 여기서 들려오는 음악소리 특히 쿵쿵하는 소리가 밤새 들려옵니다 또한 층간 벽간 소음이 엄청납니다 옆 방 아저씨의 주취 후 부주의한 통화소리가 그대로 전달된다고 할까 여튼 다시는 가고 싶지 않습니다,2020-01-01
11,깜보9878,40,공항과 가깝고 시설또한 좋습니다 프론트 직원분 들도 넘 친절하시구요 주변에 먹거리도 많구요 단점이라면 주차장이 부족한 것 같아요  늦게 오심 이중주차 하셔야 합니다,2019-12-01
12,likeair,40,조식은 맛있습니다 위치는 제주 먹자골목 중심가인데 주변이 깔끔하다는 생각은 들지 않아요 밤에 주변 거리를 걷다보면 중국말이 정말 많이 들리더군요 숙박만 생각한다면 가성비가 좋다는 생각은 들지 않네요,2019-11-01
13,Mintos,40,주변 중국 관광객이 항상 많은 곳에 위치해 있어서인지 사람들이 늘 북적이는 감이 없지 않습니다 전반적으로 객실 관리 상태 및 청소 상태는 뛰어난 편이며 직원들의 피드백 역시 좋은편입니다 도시 내부 관광 특화 지역에 위치해 있다보니 전반적으로 근처 카페 및 식당 가기에는 편리하지만 전반적으로 호텔 및 위치가 제주만의 고유 특색이 잘 들어나지 않는 것이 아쉽습니다 하루 이틀 제주 도시를 스테이시에는 좋은 선택이 될듯합니다,2019-09-01
14,이도영,50,전반적으로 만족했습니다  프론트 직원 친절해서 좋았고 객실도 나쁘지않았던 것 같습니다 한가지 아쉬운 점은 주차공간이 조금 협소했는데 직원의 도움으로 해결하긴 했지만 아쉬움이 조금 남습니다 ,2019-08-01
