,nickname,score,review,stay_date
0,DONGGIL LEE,50,조용하게 편안하게 잘 쉬다갑니다 교통편도 편리해서 이동하기도 편했습니다 근처에 배달되는맛집도 많아서 좋았습니다,2021-06-01
1,예진,50,친구랑 휴가차 놀러왔는데 너무 친절하시고 빠른 응대에 너무 좋았어요 처음 묵어보는 신라스테이인데 카운터 권혁준 직원분께서 차근차근 절차 알려주셔서 감사했어요,2021-06-01
2,몬스터 빅,50,가성비좋는가격과 주변교통인프라가 좋아 자주 이용하는곳입니다 공항 도시철도 다 가깝고 시설도 깨끗하니 좋습니다,2021-06-01
3,Kwak MoonYoung,50,조식 포함 패키지로 이용했습니다 다른 지점들도 마찬가지지만 마포지점 역시 접근성 룸컨디션 모두 훌륭하네요프론트 직원분들도 부탁드릴 때마다 친절히 응대해주시고요 특히 권혁준님 감사합니다 잘 쉬고 가요,2021-06-01
4,은경 성,50,친구들과 함께 하루를 재밌게 지내려고 투숙했습니다 체크인 시간이 굉장히 길지만 그시간을 잊어버릴만큼 하루였습니다,2021-06-01
5,Zaen.K,50,객실 내 와이파이랑 유선랜 연결이 잘 돼서 업무 보기 편안합니다 친절하게 안내 도와주신 권혁준 호텔리어님께 감사합니다,2021-06-01
6,JIN SEOK,50,6월 15일부터 주중에 비즈니스 때문에 신라스테이 마포에서 자게 되었는데 잠자리가 불편하면 잠을 잘 못 자는데 여기서는 너무 꿀잠을 자게 되네요 2층에는 식당과 카페가 있어 밖에 나갈 필요가 없어 너무 좋아요 식당에선 조식 중식 중엔 도시락도 있어서 코로나로 민감하신 분들은 방에서 안전하게 식사를 즐길 수 있어요 제일 위층엔 피트니스센터도 운영하고 있고요 프런트에 권혁준 선임이 체크인부터 위에 내용들을 자세하게 설명해 주셔서 너무 좋았습니다,2021-06-01
7,유빈 권,50,친구랑 호캉스왔는데 고층이라서 뷰가 정말 좋아요 설명도 친절하게 해주시고 너무 만족스럽습니다 다음에 또 오고싶어요 즐겁습니다 프론트에서 남자 분이 엄청 친절하셨어요,2021-06-01
8,Seung Choi,50,호캉스로 선택해서 마포쪽은 처음 와봤는데 객실이 깨끗하고 구조도 편리하고 좋으네요 체크인할 때 권혁준 매니저님이 넘 친절하게 도와주시고 객실도 좋은곳으로 배정해주셔서 너무 감사했어요 더현대랑 여의도와도 가깝고 교통도 편리해서 신라스테이 마포도 좋은거 같아요 ,2021-06-01
9,하현오,50,처음 데스크에서 권혁준 선임분이 체크인 해주실때 부터 환한 웃음으로 반겨주셔서 입실 하기 전부터 좋은 기운을 받았습니다 그래서 그런지 하루 숙박이 너무나 좋을것으로 벌써부터 기대가 됩니다,2021-06-01
10,김수연,50,객실이 깨끗하고 냄새도 전혀 나지않아서 쾌적한 숙박을 하였습니다 조명도 이쁘고 시설자체가 편리하여 즐거운 시간 보내다 갑니다,2021-05-01
11,근영 최,50,마포역 근처 호텔들 다 가봤는데 잠자리는 여기 신라 스테이가 가장 편안한 것 같습니다 침구류가 가장 마음에 들고 어매니티도 훌륭합니다 특히 직원분들이 모두 친절하시고 또 가격도 무난해서 자주 찾게 되는 것 같습니다 피트니스 센터는 아직 한번도 이용해 보지 않았는데 다음에 여유 있을 때 한번 가보고 리뷰 남기려고 합니다 이번에도 편히 잘 머물다 갑니다,2021-05-01
12,주환 최,50,객실도 깔끔하게 관리되어 있고 서비스도 좋습니다 스탠다드 기준으로 모든 룸에 욕조가 있는 건 아닌 것 같습니다만 체크인 시 요청하면 준비해주셔요 공덕이라는 위치 자체도 관광지라기보다는 업무지구에 가까워서 매우 합리적인 가격에 객실이 제공되고 있는 것 같습니다 깔끔해서 호캉스 목적으로도 좋고 워낙 서울 어디로도 이동하기 편한 지역이다 보니 비즈니스 목적으로도 추천 드려요,2021-05-01
13,Salina,50,휴일 전날이고 비가 오는 날씨라 휴식할겸 신라스테이 마포에 방문하였습니다 발렛과 체크인시 친절하게 해주셔서 빠르고 기분좋게 객실로 이동하였고 짧지만 잘 머무르다 왔습니다 요즘은 코로나때문에 멀리 가기도 힘들고 길어지는 팬더믹에 지치기도하지만 신라스테이의 세심한 서비스와 친절함에 힐링하고 온 기분이에요 다음번에 또 방문하겠습니다 감사합니다,2021-05-01
14,오민석,50,제가 오늘 여자친구랑 왔는데 객실도 너무좋고 안에 시설도 너무 좋아서 잘 놀다가요 앞으로도 자주 와야겠네요 감사합니다,2021-05-01
15,JIEUN,40,서울놀러와서 친구랑 투어하고 하루묵었습니다 요청사항 공기청정기는 대답못들었지만 욕조있는 룸 주시고 레이트체크아위 한시간 주셨어요,2021-04-01
16,희민 정,50,요청사항고층 뷰 좋은 방 욕조 필수 등 꽤 많았는데도 들어주셔서 감사했고 깔끔해서 좋았습니다 다만 어메니티 2개씩 부탁드렸는데 체크인 당시 1개씩만 배치되어있어서 프론트에 문의해서 부탁했습지만 전반적으론 괜찮았습니다,2021-04-01
17,Jo,50,객실 깨끗하고 친절한 서비스 덕에 편히 쉴수 있어요 공덕역이랑도 가까워요 26층에 피트니스센터도 깨끗하고 뷰가 좋아서 잘 이용했습니다,2021-04-01
18,Jaeho,50,공항철도도 바로 탈 수 있고 마포역 공덕역과 아주 가깝습니다 응대가 친절하고 깔끔한 숙소 객실 컨디션도 좋고 어메니티도 아베다라 마음에 들어요 근처 맛집들도 있고 서울 다른 지역에 가기에 교통도 괜찮아요 추천합니다,2021-04-01
19,Lee,50,위치도 좋고 친절하고 아늑해요 집에서 가까워서 자주 방문할거같아요 신라스테이 어메니티도 만족해요 치약은 페리오지만,2021-04-01
20,7478,50,주차도 편리하고 접근성도 좋네요 또 방문할게요 방도 깨끗하고 침대도 아주 편했습니다 수압도 좋고요 가격대비 만족합니다,2021-04-01
21,KANGHYE KIM,50,깨끗하고 서비스 좋습니다 주차직원분들까지 모두 친절 합니다 가격대비 퀄리티가 좋아서 다시 방문 예정입니다 추천합니다,2021-04-01
22,소연,50,너무 깔끔하고 좋았습니당 우연히 검색해서 와본 호텔이였는데 직원분들이 친절하셔서 체크인체크아웃다 편하게 했구요 슬리퍼가 젖어서 새로부탁드렸옸은데 바로바로가져다주셨어요 잊지못할 시간보내다 갑니다 감사함니다,2021-03-01
23,Amy kim,50,침구는 편안하고 직원은 친절합니다 두번째신라스테인데 만족해요 일때문에 방잡은 건데 서비스에 비해 가격도 합리적이고 넘 잘쉬다 가요,2021-03-01
24,giovanni park,10,창이 페어글라스 한쌍이다 가장 번화한 10차선에서 모든 차들의 소리가 24시간 끊임이 없습니다  이는 신라라는 회사의 숙박시설에 대한 기본적 서비스마인드가 없다고 보여지는 면입니다  시간별 숙박허용으로 대학생들의 인기를 끌수는 있으나모텔도 아니고  게다가 조식시간 안내는 없습니다,2021-03-01
25,이세연,50,공덕역 근처에 있어 위치도 좋고 객실도 깨끗하고 좋네요 주변에 먹을데도 많이 있어요 다음에 오면 또 숙박하고싶은 호텔이네요,2021-03-01
26,haesun,50,회사본사교육때문에 묵게됐는데 깔끔하고 친절하셔서 좋았어요 23층에 묵었더니 막힘도 없어 더 좋았구요 추운날씨였는데 따뜻하게 잘 머물렀습니다,2021-03-01
27,boogyo,50,위치도 좋고 깨끗하고 좋습니다 가격도 저렴해서 강력 추천합니다 주차장 시설도 좋습니다 다만 마포점은 일박에 5천원 내야하능게 아쉽네요 다른 신라스테이 주차비가 없는 것 처럼 없으면 좋겟습니다,2021-02-01
28,김 준,30,가격은 저렴하고 깔끔함 가성비는 좋습니다 다만 직원 교육은 필요해 보입니다 호실과 상관없는거 물어보는데 상대방을 잘 안듣는건지 계속 호실만 물어봅니다 결국 두번 세번 똑같은 말 반복하게 만듭니다 장기 투숙중 여러번 느꼈습니다,2021-02-01
29,Hazel,50,합리적인 가격으로 잘 즐기다 갑니다 너무 아늑하고 필요한 것들도 잘 갖춰져 있어서 편안히 지냈어요 위치랑 상권도 좋아요 다음에 또 방문하겠습니다,2021-02-01
30,이재무,50,객실이 아주 넓지는 않아도 깔끔하고 쾌적합니다 위치도 좋고요 공덕역과 마포역 사이라 먹을 곳이 많아요 덕분에 편안하게 잘 머물다 갑니다,2021-01-01
31,이경주,50,코로나로 인해 어디 나가기도 힘든 지금 편히 쉴 공간을 제공받아서 너무 좋습니다 공간이 넓진 않으나 잘 정리되어있고 깔끔해서 좋았습니다 코로나때문에 신라스테이 내 타 시설을이용하지 못하는 점은 아쉽지만 숙박 자체만으로도 매우 만족스러웠습니다 이벤트 덕분에 나름 저렴하게 이용할 수 있어서 정말 좋았습니다 추천합니다 8,2020-12-01
32,Hui Seoung,50,예전에 4성급호텔에서 침구와 샤워시설에 머리카락 나오고 창틀에 먼지 나와서 기겁한적이 있었어요 그리고 지금 시기가 청결을 신경써야할 때라 위생부분에 신경을 많이 썼어요 주변 지인이 신라스테이 마포점에서 좋은 기억이 있다고 하셔서 친구들과 호캉스파티 할겸 예약했습니다 결과는 너무너무 대만족이예요 일부러는 아니었지만 객실안에 스탠드 내부를 보게되었는데 먼지가 하나도없더라구요 충분히 놓칠수있는 부분인데도 흐트러짐없이 깨끗한걸 보고 감탄했습니다 그리고 프론트직원분들도 친절하셨고 객실올라갈때 우연히 마주친 남자직원분과 청소해주시는 여성분인듯한데 참따뜻하게 웃으시면서 인사해주셨어요 다른 호텔은 프론트직원분들만 잘웃으시고 객실복도 같은데서 만난 직원분들은 저희를 피해서 다니셨거든요 웃으면서 인사해주시는 덕분에 이호텔이 참따뜻하게 느껴졌습니다 엑스트라베드도 침구너무 깨끗하고 폭신했구요 친구들과 집에가져가고싶다며 농담했네요 망설임없이 적극추천합니다,2020-12-01
33,KIM GWANG HYUN,50,조용하게 3박4일간 잘 쉬었습니다 조식도 맛있어요 공덕역 근처라 먹거리도 많아서 위치가 좋았습니다 뷰도 좋아요  전체적으로 직원분들도 친절했습니다,2020-12-01
34,eunjin Park,50,너무너무 좋아요 룸컨디션도 주변 상권도 너무 좋습니다 출장차 방문 했는데 다음에 또 재방문의사 백프입니다 조식 못먹은게 좀 아쉽네요 ,2020-11-01
35,May,50,깔끔한 숙소에서 잘 묵다 갑니다 침구류도 깨끗하고 어메니티도 마음에 들어요  가성비 굿이네요  다음에 또 올게요,2020-11-01
36,Mijellan,50,프론트 권혁준 선임분 너무 친절하셔셔 다음에도 또 오고 싶네요 무엇보다도 지하철역 공덕역에서 가깝고 근처에 우체국 편의점 있어서 업무보고 식음료 구매하기에 편하네요,2020-10-01
37,Neon,50,공덕역에서 1분거리라 찾기쉽고 가까워서 좋아요 실내 쾌적하고 직원친절 합니다 어매니티 아베다제품 사용해서 이 부분이 제일 좋았어요,2020-10-01
38,jyitt,50,신라스테이 침대가 너무 편해요 하루 묵었다가 하루 더 묵고 갑니다  친절하고 좋아요  고층이라 뷰도 좋았습니다 나름대로,2020-10-01
39,DayTrip762650,50,급하게 예약했는데 친절한 직원분들 조용한 룸 어메니티 그리고 깨끗한 시설이 좋았습니다 다음에 또 올것 같아요 추천합니다,2020-10-01
40,메이비,50,전체적으로 깨끗하고 쾌적했습니다 서비스도 친절하고 좋았어요 근처에 맛집도 많고 공원도 잘되어있고 야경도 멋있었습니다 편히 쉬다갑니다,2020-10-01
41,Hailey,50,데스크 안내직원분도 친절하시고 레이트체크아웃해주셔서 푹쉬고 가네요다음에 또와서 호캉스 즐기려고 합니다 너무 좋았어요,2020-10-01
42,LEE,50,지하철 역에서 가깝고 먹자골목 편의점이 근처라 식사나 간단한 먹을거리를 가까이서 편하게 해결할 수 있었어요 큰 길가에 있는데도 소음 없이 조용하게 잘 쉬었습니다 침대도 푹신하고 객실 상태도 깨끗해서 좋았어요,2020-10-01
