,nickname,score,review,stay_date
0,오리6,50,호캉스하러 왔는데 지어진지 얼마되지 않아 시설도 깨끗하고 직원분들도 너무 친절하고 좋습니다:) 컴포트 레저룸 예약했는데 게임도 하고 모션베드라 너무 편하게 쉬다가요:)! 다음에도 또 오려구요!,2021-07-01
1,Sunny Lee,50,깨끗하고 편안한 시설과 친절한 서비스에 너무 만족합니다 앞으로도 또 찾고 싶은 가성비 좋은 비즈니스 호텔로 추천합니다~,2021-07-01
2,초코초코촠,50,접근성도 좋고 침구도 안락합니다 위생도 괜찮구요 룸서비스가 없는건 다소 아쉽습니다 시티뷰는 야경이 참 볼만합니다 직원분들도 친절하세요,2021-07-01
3,쑥스런,40,"우선 체크인 시간이 너무 길었어요 ㅠ 체크인 하면서 대기하는 라운지가 잘 되어있기는 했지만 너무 혼잡해서 기다리는 내내 정신이 너무 없었습니다 ,, 다음부터는 체크인카운터외에도 체크인 할 수 있는 시스템이 갖춰지면 좋겠습니다

신라스테이는 어느 곳을 가도 인테리어 및 구조가 비슷해서 친근한 느낌이었습니다!
가장 좋았던 점은 바닥이 우드재질이었다는 점입니다.
카페트 바닥은 보기엔 예쁘지만, 위생적이지 않은 느낌인데 신라스테이는 육안으로도 청소상태를 확인가능한 우드재질 바닥이라서 안심되었어요 !

그리고 어메니티 역시 아베다 제품 중에서도 베스트셀러로 준비해주셔서 만족했습니다 :)",2021-07-01
4,Kang,50,"일단 뷰가 신라스테이 중 제일 조아보여서예약했어요.
커플 호캉스 즐기러왔습니다!!
루프탑도 넘 이쁘고 삼성역 야경이 한눈에 보여요!!!",2021-06-01
5,TAEKYUNG LEE,50,그냥 개쩌니까 무조건 들어가십시오. 여기는 코엑스 뷰가 보여서 내가 부자가 된 거 같은 낭만을 즐길 수 있습니다. 꼭 오십쌉사리와요 훠훠.,2021-06-01
6,현성ㅎ,50,"모션 베드가 정말 좋아요!!
무료로 업그레이드 해주셔서 정말 행복한 시간 보냈습니다.
플레이스테이션, 넷플릭스까지 갖추어져있어 더욱 좋아요",2021-06-01
7,ㅂㅇㅇ,50,디럭스 시티뷰 룸으로 왔는데 뷰가 진짜 대박이에요 옆에 5성급 호텔 갈필요가 1도 없네요 신축이라 시설도 깨끗하고 쾌적합니다 다만 차 가지고 오시는 분들은 조금 일찍 오셔서 체크인 대기하시는게 좋을거같아요 3시 딱 맞춰서 왔는데 마지막 공간 있어서 운좋게 주차 가능했습니다 암튼 너무 만족스럽게 쉬다 갑니다~,2021-05-01
8,Peter,50,"새로 만들어서 깔끔해서 좋았어요
데이유즈 시스템이 좋았습니다.
편하고 친절하게 잘 쉬다 갑니다
빌딩 뷰라 그 부분은 좀 아쉬워용
재방문 의사있습니다",2021-06-01
9,YEYE,50,"지하철역과 매우 가까우며, 시설이 매우 좋습니다.
나쁘지 않은 가격대에 욕조와 레저기능(플스, 스마트티비) 모두 이용 가능합니다.
또한 방 컨디션과 뷰도 좋습니다.
코엑스와 가까워서 먹거리와 쇼핑도 즐기기 좋습니다.
저는 방을 방문하여 변경하였는데, 프론트 직원분들도 매우 친절하게 안내해주셨습니다.",2021-05-01
10,seokk837,50,"직원분들이 친절하고 응대가 전문적입니다

시티뷰는 완벽하고 아름답습니다 객실은 깔끔하고 동급 호텔과 달리 객실에 욕조도있습니다 추천합니다",2021-06-01
11,시현 이,50,토요일이라 바쁘신데도 불구하고 릴리? 호텔 리어님의 친절로 꿉꿉한 날씨에 기분이 상쾌해졌네요. 확실히 다른 서울 신라스테이에비해 새로지어져서 깔끔하고 청결도 으뜸입니다. 테라스 바도 기대되는데 비가와서,2021-05-01
12,Yums,50,"음식이 맛있고 전반적으로 깔끔해요
가족들과 왔는데
이제 가족모임은 여기서 하게될것같아요
교통도 편리해서
좋으네요 ㅎㅎ
자주올거예요",2021-05-01
13,hyun jin,50,생각보다 방이 넓고 쾌적해요~ 2인룸치고는 소파도 크고 화장실도 구비용품 깔끔하게 제공되네요! 창문이없는건 단점이지만 나름 잘 즐기다 가요~,2021-05-01
14,Kanghee Han,50,"신라스테이 삼성점은 다른 곳과 다르게 로비가 최상층에 있더라구요~ 저희가 묵은 객실은 8시간 반캉스 룸이였는데요, 객실도 깨끗하고 야경뷰가 너무 이뻐요. 지은지 얼마 안된 신축호텔이라 화장실이나 침대, 소파 등이 깨끗하고 위생상태가 굉장히 잘 되어 있습니다. 샤워가운도 뽀송뽀송하고 침대포도 퐁신퐁신하고 은은한 무드 조명이 있어서 잠도 솔솔 오네요~ 가장 핵심은 맞은편 보이는 무역센터 건물부터 선릉쪽 포스코 건물이 모두 보여서 시티뷰가 최곱니다. 하룻밤 보내기 부담스러울 때 반캉스하기 딱 좋은 호텔인 것 같습니다. 가심비 가성비 모두 좋아서 저랑 여자친구 모두 만족하고 가요~^^",2021-04-01
15,yk,40,"조식도시락 포함으로 갔는데 너무 좋았어요.
친구들과 마음껏 얘기나눌 수 있는것도 좋았고
아침에 한그릇씩 담아서 거지고올라와 먹을 수 있는것도 좋았습니다.
조식 개수가 생각보다 적긴했지만 다 맛있었고
특히 여성요리사분이 해주신 오믈렛이 너무 도톰하고맛있었습니다.
사진을 깜박해서 아쉽네요..",2021-04-01
16,LEE HAN,50,"위치가 좋아서 편안해요
21층 로비와 1층을 오고가는 안쪽 엘베 적절하게 이용하면
엘베 트래픽을 조금이나마 줄일 수 있습니다.",2021-04-01
17,정석스,50,"안락하고 깨끗한 시설이 교통역시 편리합니다. 다른 스테이 보다 더 넓은것 같고, 만족스러운 숙소입니다 ㅎ
파크하얏트보다 가격생각하면 더 나은거 같기도 하네요",2021-03-01
18,HJY,50,"작년에 오픈하고 얼마안되서 갔었는데 너무 좋아서 이번에 한번 더 투숙했어요ㅎㅎㅎㅎ
직원분들 여전히 너무 친절하시고 방 청소도 깔끔하게 잘되어있어서 역시 우수하네요^^
서울 와서 지낼곳 찾으면 신라스테이 삼성에서 묵는게 제일 좋을구같아요~~
근처 갈일 있으면 또 올게욥!!

사진은 객실에서 찍은 뷰예요ㅠㅠ 너무 예뻐요",2021-03-01
19,아영,50,"처음 와본곳인데 마음에 들어요
코로나 시기라 많이 꺼려졌지만 마음 편하게 대응해주셔서 좋았습니다! 다음에 또 오려고요",2021-02-01
20,Lee,50,추석 전에 휴가 생겨서 다녀왔는데 여전한 직원들의 친절함과 뷰는 뭐 말할 것두 없구요. 요즘 코로나로 걱정인데 방역도 철저히 하고 계시드라구요~ 자주 옵니다,2021-02-01
21,Danassi,50,깔끔하고 위치도 역세권이라 아주좋아요 직원들이 친절하고 쉬기에 좋았습니다 삼성역에서 오시는거추천드려요ㅎㅎㅎ,2021-01-01
22,Julie Lee,50,컴포트 레저룸 묵었는데 너무 좋았습니당 ㅎㅎ 라스트오브어스 게임 했어요 ㅠ 게임 특성상 약간 어지럽긴 하더라고요 근데 티비도 크고 모션베드라서 행복했어요 ㅎㅎ,2021-01-01
23,Min juhee,50,뷰가 최고인 것 같아요! 항상 친절하게 맞아주셔서 감사합니다 :) 조식도 맛있고 쌀국수가 또 먹고 싶네요 ㅜㅜㅜ 코로나 임에도 안전 방역수칙도 잘 지키시는 모습이 보기 좋고 안심 되더라구요 😀,2020-12-01
24,bjy0203,50,체크인해주시던 Riley님 너무 친절하게 응대해주셔서 너무 감사합니다:) 평일이라 많이 붐비지 않고 편하게 객실과 레스토랑 이용했습니다.,2020-11-01
25,소희 전,50,"무료로 업그레이드도 해주고 쾌척하고
호캉스엔 안성맞춤!!!
다음에 또 오고 싶어요
근거리에 코엑스도 있고 직원분들 모두 친절해요",2020-11-01
26,Hahye,50,직원분들이 친절하고 분위기가 고급스러우며 아늑하고 무엇보다 로비의 뷰가 멋있습니다. 객실은 깨끗이 정돈되어 있고 창밖의 멋진 뷰가 피로를 없애주네요. 객실에서 무역센터의 전광판까지 볼 수 있어서 외국인 관광객들에게 꼭 추천하고싶습니다.,2020-11-01
27,마칸제,50,"커플이라 강남에 가까운곳으로 방문했는데
삼성역에서 너무 가깝고 시티뷰가 너무 좋았어요
룸에서 와인한잔 하기 좋았던것 같아요",2020-10-01
28,bori,40,"19층 시티뷰에서 묵었는데 볼거리가 많아서 좋았습니다. 객실형태도 만족! 침대가 넓고 약간 딱딱한 편이에요. 호불호가 있을듯합니다. 그래도 푹 잤습니다^_^어메니티 좋구여. 수압은 조금 약한편.
루프탑 완전 훌륭합니다*^^*담요도 주시기때문에 추운 날도 어느정도 커버가능. 수영장이 없기때문에 퇴근후 호캉스를 즐기고 싶은 분들에게 추천하고 싶어요~! 낮에 오면..런치뷔페 정도 먹을 수 있을거 같아요.
주차는 유료라서 별하나뺐어요ㅜㅜ",2020-10-01
29,여행희망,30,"객실이나 일반 공간은 어디 가나 다 비슷한 신라 스테이.
루프탑 바 때문에 방문 해 봤는데 사람들은 많았어요. 다만 테이블 정리가 안 되고 치우는 직원들이 없어서 주문 하고서 손님인 우리가 자리를 치웠네요. 뷰 외엔 가구나 인테리어 거의 없더라고요.",2020-06-01
30,Sophie,50,"방에서 보는 시티뷰가 기대 이상 좋습니다.
코엑스, 인터콘티넨털호텔에 설치된 대형 광고판과 빌딩 숲이 보이는 전망을 즐기며.. 미래로 여행온 느낌.",2020-10-01
31,MINHO,50,들어오자마자 그냥 와.. 해외 보다 훨 이뻐요! 거기다가 엄청 깔끔하고 진짜 너 좋음 거기다가 친절!💪🏻 돈만 있다면 매일 오고 싶다!!,2020-10-01
32,Dami choi,50,위치도 삼성역이랑 가까워서 좋고 요청사항도 잘들어주셔서 너무 좋아요 :) 시티뷰 경관보려고 온건데 만족합니다! 다음에도 방문할게요,2020-10-01
33,연지 김,50,"1.침대가 모션베드라 너무 편하게 티비봤음
2.tv가 65인치라 넷플릭스보면서 호캉스하기에 딱임
3.컨디션 깔끔하고 좋았음
4.차없이 그냥 지하철타고 온 사람들에게 딱이에요진짜 위치너무좋음
5.변기수압 쪼금 안좋은거..빼고 완벽했습니당",2020-10-01
34,zonep,50,"여러가지 이용하는 데 있어 편리하고 위치도 편했고 잘 쉬다 갈수있어서 좋았습니다~!!!
다음에 또 오고 싶어요 ㅎㅎㅎ
추천합니다",2020-09-01
35,hyojin,50,"신라스테이 강남 호캉스로 너무 좋습니다 역과 가깝고 코엑스랑도 가까워서 비가 오는 날이었지만 비를 거의 맞지않고 왔다갔다 할 수 있었어요 룸 컨디션도 좋습니다 따뜻한 물도 콸콸 나오고 방에서 보는 시티뷰 또한 멋지네요
쾌적한 호캉스를 즐길 수 있어서 좋았습니다",2020-09-01
36,Skyyyrtt,50,컴포트레저룸은 모션베드고 플레이스테이션 빌려줘서 좋네요. 방도 깨끗하고 좋아요 스파이더맨 하세요 재밌게 놀다 가요~!!!,2020-09-01
37,희윤정,50,"우선 첫인상이 너무 고급스러워서 좋았구요 향도 예뻐요 ! 직원분도 너무 친절하십니다

연인과 아름다운 하루를 보내시고싶으시다면 신라스테이로 오세요 ㅎㅎㅎㅎ",2020-09-01
38,Woojin,50,직원분들이 너무 친절하고 착하시고 너무 좋았습니다 안에 시설들도 너무 잘되있어서 편하고 방에서 보는 뷰는 너무 이뻐서 너무 좋았습니다,2020-09-01
