,nickname,score,review,stay_date
0,junho,10,21년5월15일 새벽에 중요한 대회가 있어서 대회장에서 가까운 신라스테이서초에 중학생딸아이와 투숙을 하였습니다. 15일 7시30분까지 대회장을 가야되어서 14일 컨디션 조절때문에 투숙을 하였는데 14일 9시에 잠들었는데 방에서 참새또는 잠자리가 날아다니는 푸더덕 소리가 계속 나서 11시20분경에 불을 켜는 순간 손바닥 1/3크기의 바퀴벌래가 방안에서 날아다녀서 기겁을 하고 프론트에 전화를 하니 여직원이 올라왔고 여직원 또한 바퀴벌래를 보고 나서는 잡지도 못하고 모두들 기겁하여 짐을 싸고 방을 교체해준다고 하여 새벽12시20분경 방을 옮기고 다시 짐을 풀고 3시경 잠이 들었다가 새벽6시에 깨서 대회장으로 이동하여 대회를 잘마쳤습니다. 호텔측에서는 다음에 본호텔에 오시면 조식식사권을 주신다고 하는데 무슨 요즘 밥 못먹고 사는 사람들이 있는것도 아니고 정중한 사과와 환불을 해줘야되는것 아닌가요? 이후 연락처를 남겼으나 저녁에 부총지배인이라는 분이 전화가 오셔서 호텔사정상 환불이나 객실쿠폰은 규정상 안된다고 하네요. 그런 규정이 없어서 해드릴수가 없다고 단호하게 애기하시는데 어떻게 해야될지 모르겠습니다.,2021-05-01
1,Yong shim,50,위치도 좋고 시설도 안락하고 연휴에 푹 쉬다가 갑니다!! 친절한 서비스 정말 감사드려요❤️ 다음번에도 재 방문할 의사 충분히 있습니당^^,2021-02-01
2,monjiny,50,호텔 주변에 코인 빨래방과 간단히 먹을수 있는 음식점이 여러곳 있어요 객실도 깨끗하고 무엇보다도 직원분들의 친절함에 편하게 쉬었습니다!,2021-03-01
3,Kimchaerin,50,첫느낌은 비지니스호텔같은 느낌이었는데 내부도 깔끔하고 마음에들었고 무엇보다 직원분들이 너~~어~~무 친절해서 정말 최고로 마음에들고 기분좋게돌아올수있었던거같다 어린아기와함께방문했는데 배려를 너무 해주셔서 너무 감사했다..아기땜에 정신이 없어객실 사진은 찍을수없었으나 가격대비 친절함 깔끔함 모두 만족했다,2021-02-01
4,슬기 이,50,"뱅뱅사거리에 위치해서 접근성도 좋고 깨끗, 안락해서 자주 이용합니다~ 주위도 조용해서 편하게 쉬기 딱 좋아요! 직원분들도 너무 친절하세요^^",2020-12-01
5,윤실이,50,신라스테이 서초쪽은 처음 방문인데 내부가 청결하고 쾌적했습니다. 고층이라서 전망도 좋고 주변에 음식점도 많습니다!! 다음에 또 오고싶어요^^,2020-12-01
6,Jae hee,50,친구랑 서울에 놀러 왔는데 시설도 너무 좋고 가격도 착해서 2박만 하려 했는데 3박하고 왔어요! 그리구 레이트 체크아웃도 가능해서 넘 좋았답니다ㅠㅠ 다음에 또 올거에요!,2020-11-01
7,mimi,50,쾌적한 룸공기는 신라스테이를 따라 갈 곳이 없는것 같아요 더불어 서초신라는 편리한 위치 친절한 서비스로 정말 만족스럽네요,2020-11-01
8,Jiwoo Choi,50,"서울에서 하루 지낼 곳을 찾아 머물게 되었는데, 입구부터 잘 정돈되고 방역 수칙을 지키는 분위기에, 프론트의 서비스가 굉장히 좋았고, 방 시설 또한 조용하며 아늑한 분위기가 유지되었습니다.",2020-10-01
9,Lee E,50,"객실 내부에서도 와이파이 및 사무를 볼 수 있는 공간이 마련되어 있으며, 화장실 및 침구 상태도 깨끗했고, 직원분들도 문의와 서비스 요청에 친절하게 응대해주셨습니다!!",2020-10-01
10,Gyungha Song,50,"그랜드디럭스 룸에서 1박했습니다.
야경도 좋고
숙박간에 불편함을 느끼지 못했습니다.
라운지 직원분들 서비스가 훌륭했습니다.",2020-09-01
11,Hyun jun Chae,50,깨끗하고 서비스 좋고 이가격대에 이만한대가 없네요 역시 신라 입니다 다음에도 다시 묵을 의사가 있습니다 좋았습니다요,2020-09-01
