,nickname,score,review,stay_date
0,woo,50,항상 친절하고 깨끗한 신라스테이 디자인 분위기 너무 좋고 회색풍의 전체 분위기가 너무 좋아요 조식이랑 부페도 맘이 듭니다 직원도 친절해요 추천,2021-07-01
1,연재 이,50,처음에는 호텔이 좋아야 얼마나 좋을까 생각을 했습니다 하지만 제 큰 오산 인가보네요 이런 가성비의 호텔이 있을지 침대도 푹신푹신하고 세면도구 하나하나 청결하게 보관되어있어 꺼름직하지않아서 다행이라 생각해요 이런 시국에 청결과 소독을 빼놓을수가 없는데 들어가자마자 소독한냄새약간있었구요 그리고 제가 목이 아파서 가습기도 필요로 하였는데 가습기도 제공되는걸 보면 정말 좋은것같아요 리뷰보시고 오시는 분들 정말 강추드려요,2021-07-01
2,유미 박,50,매해 아들 생일에 여행을 합니다 올해는 울산 고래마을로 장소를 정했고 공항 도착하자마자 호텔로 고고했네요 울산여행을 위해 바로 전날 아이와 코로나 검사까지 완료하고 음성확인 후 출발하는 준비까지 완료 체크인도 깔끔하게 처리해주시고 룸도 아이와 조용히 보낼 수 있는 룸으로 선별까지 해주시는걸 보고 첫 여행을 기분 좋게 시작해봅니다,2021-07-01
3,SUJIN,50,친절하고 깔끔합니다 울산 도심에 있어 접근성도 좋고 또 오고싶어요 신라스테이만의 무드가 묻어나와 좋습니다,2021-07-01
4,라이카X,50,울산에서 호텔은 처음이다 주차장부터 불편함이 없고 직원들도 친절하다 작은 것부터의 배려가 느껴진다 다음 울산행에서도 첫 고려 대상이 될 것 같다,2021-07-01
5,Sia K,40,남자친구가 예약해줘서 그냥 따라왔는데 좋네용 비지니스 호텔중에 젤 괜찮은듯 뭔가 세련되고  또 올 의향있음,2021-07-01
6,Hhh,50,친구들이랑 오다가 이번에 혼자 묵게 됐는데 편하게 쉬다가 갑니다 친절하게 설명해주시고 신경써주셔서 마음이 더 편안했습니다,2021-07-01
7,지연 박,50,객실이 너무 깨끗해서 놀랬습니다직원분들 너무 친절하시고 특희 응대해주신 여성분 이름은 생각안나는데 웃으시면서 반겨주시는데 너무 이쁘시고 친절하셔서 감동입니다 오랜만에 대접 받고온 이기분가성비 쵝오입니다담에 또 올께요덕분에 즐거운여행이였습니다,2021-07-01
8,이혜철,50,내부 시설도 깔끔하고 너무 좋아요 프론트 직원들도 친절하고 교통수단도 편리한곳에 있어 더욱 맘에 들었네요 다시 또 오고싶어요,2021-07-01
9,상진 강,50,호텔 안 울려펴지는 BGM과 친절한 직원을 대응으로 편안한 분위기를 느낄수 있었습니다 충전기를 잊고 숙박하러 왔는데 빌려주셔서 너무 도움이 되었습니다,2021-06-01
