,nickname,score,review,stay_date,sentimental_score_negative,sentimental_score_positive,topic_score_#0,topic_score_#1,topic_score_#2,topic_score_#3,topic_score_#4,topic_score_#5,topic_score_#6,topic_score_#7,topic_score_#8,topic_score_#9,topic_score_#0_negative,topic_score_#1_negative,topic_score_#2_negative,topic_score_#3_negative,topic_score_#4_negative,topic_score_#5_negative,topic_score_#6_negative,topic_score_#7_negative,topic_score_#8_negative,topic_score_#9_negative,topic_score_#0_positive,topic_score_#1_positive,topic_score_#2_positive,topic_score_#3_positive,topic_score_#4_positive,topic_score_#5_positive,topic_score_#6_positive,topic_score_#7_positive,topic_score_#8_positive,topic_score_#9_positive
0,karolinernes,50,이그제큐티브 라운지 칵테일 뷔페는 생각보다 넘 별로였어요 메뉴가 얼마 없어서 ifc 몰에서 또 따로 저녁 사먹었습니다 한강뷰는 아주 좋았어요,2021-07-01,-1.5313247442245483,1.9868921041488647,0.0401362,0.01810218,0.01966748,0.01918437,0.02753706,0.01500755,0.03519502,0.7827206,0.01937556,0.02307395,-0.06146155534854403,-0.027720322188804047,-0.030117298996342523,-0.029377497009110298,-0.04216818274171996,-0.02298143963799648,-0.0538950036153687,-1.1985994614907653,-0.029670267137288597,-0.035333703223192625,0.07974629776688547,0.03596708633431511,0.0390771610005074,0.03811726876823651,0.054713168876701745,0.029818391644831466,0.06992870554748132,1.5551814303628007,0.03849713767468632,0.04584543951848152
1,mikyung782021,50,직원분들 모두들 너무 친전하셨고 말하지 않아도 무엇이 필요한지 먼저 오퍼해 주셨어요프론트에 계신분 체크인시 가습기 티피텐트 등등 알아서 다 방에 넣어주셨고 룸써비스도 스파게티 빼고 치킨 퀘사디아와 미역국 넘 맛있었어요  단지 남편이 어때에 타투가 있는데 수영장에서 윗옷을 입어야 한다거 해서 그건 점 그랬네요다른 오성급 어느 호텔에서도 그런 요구를 한적은 없었거든요여튼 수영하고 싶어서 아이와 이 호텔을 고르신다면 비추여핫터브가 없어서 오래 놀기엔 춥기도 하고요,2021-07-01,-2.686230421066284,3.2602860927581787,0.07145271,0.0086324,0.21863063,0.32302612,0.01313162,0.00715666,0.06909641,0.00706587,0.00923963,0.272568,-0.19193845536521614,-0.023188615683205738,-0.5872922406807071,-0.867722592123144,-0.035274545586639894,-0.01922444240306942,-0.1856088752630587,-0.01898055459018444,-0.02481978226712922,-0.7321804196755579,0.23295629138333673,0.028144093905488665,0.7127983919994669,1.053157568794191,0.042812824061025934,0.023332764649012683,0.22527406061927913,0.023036757263232843,0.030123845786351744,0.8886496187882926
2,shinobu2,20,가격대비 메리크가 없으며 이제는 가격을 어느정도 지불해야지만 앞의 조망을 즐길수 있네요 가격대비 받은 서비스는 없음,2021-07-01,1.6229227781295776,-1.9817979335784912,0.04508168,0.02033269,0.02209086,0.02154822,0.15414762,0.01685675,0.03953166,0.0166429,0.6378505,0.02591706,0.07316408336502844,0.03299838627454976,0.035851756390793854,0.03497109548401678,0.25016969175754866,0.027357201285565846,0.0641568303918647,0.027010138779491655,1.0351821428104415,0.042061385085833125,-0.08934277784435718,-0.04029528367683444,-0.04377961643518313,-0.04270421593630935,-0.3054894446305525,-0.033406669563606606,-0.07834376078082972,-0.032982861501615446,-1.2640908484034412,-0.051362373595262856
3,sharpgoodman,50,가족들과 즐거운 여름 휴가를 보낼 수 있었습니다 더운 여름이었지만 11시쯤 걸어다닌 여의도 공원도 괜찮은 사색의 공간이었던 것 같습니다,2021-07-01,-3.0212509632110596,3.4494781494140625,0.08889572,0.52603424,0.04356055,0.04249053,0.0609905,0.03323951,0.07795174,0.03281782,0.04291398,0.05110536,-0.26857626690483194,-1.5892814420588763,-0.13160735248780142,-0.12837454572823148,-0.18426761048270013,-0.10042489007825672,-0.2355117597345302,-0.09915086492104486,-0.12965389451789822,-0.15440212245118712,0.30664382913585086,1.8145436027680262,0.15026116407966583,0.1465701445602008,0.21038540119462823,0.11465895028266004,0.26889281262185705,0.11320434687661418,0.14803082616168695,0.17628682757703018
4,sunkeem,50,위치 주차 시설 서비스 등 호텔이 제공해야 할 모든면이 편리하고 좋았다 자녀들과 함께 묵기에도 전혀 불편하지 않았으며 조식도 꽤 만족스러웠다 아울러 32층 뷰도 매우 근사했다,2021-07-01,-2.9967610836029053,3.426379919052124,0.07151878,0.03225632,0.03504553,0.42513576,0.04906835,0.02674199,0.06271408,0.02640274,0.23000088,0.04111551,-0.21432469305753443,-0.09666448483256929,-0.10502307123345567,-1.274030305309303,-0.14704612275017848,-0.08013936854996873,-0.18793910694282623,-0.07912269199319288,-0.6892576963901078,-0.12321336392288895,0.245050507518755,0.11052240751793008,0.12007928969728177,1.456676636072494,0.1681268102827671,0.09162823310392243,0.21488225589852128,0.09046580472170396,0.7880704080432892,0.14087736196730116
5,youngsoo82,40,객실이 넓고 직원이 친절하며 호텔 근처에 편의시설이 많아 위치가 좋습니다 수영장 온도도 적당하여 즐기기 좋으나 유아풀은 따로 없습니다,2021-06-01,-0.6404404640197754,1.173938512802124,0.05141718,0.02319012,0.02519537,0.44617766,0.03527683,0.01922569,0.32615465,0.01898179,0.02482139,0.02955928,-0.03292963985134101,-0.014851890171119209,-0.01613613413177095,-0.285750228514388,-0.022592711885943473,-0.012312910153790213,-0.2088826349127828,-0.012156704118621242,-0.015896624573382923,-0.018930959462542418,0.06036060275073307,0.027223773073847823,0.029577814596739582,0.5237851402916505,0.04141283395037387,0.022569778529422102,0.38288550389303566,0.02228345014931632,0.02913878940927539,0.034700778051850456
6,Jay Nam,50,한강을 중심으로 서울을 시원하게 조망할수 있는 콘래드서울입니다 객실은 넓은 편이고 침구는 매우 훌륭합니다 바스락 뽀송뽀송 숙면에 최고입니다 IFC몰과 더현대 백화점이 가까이에 있어 식음료 쇼핑 모든게 부족함없이 가능하네요 호텔 접근전 모든 곳에서 체온 체크 코로나상황에 만전을 다하네요 수영장 gym 라커샤워시설은 잠정 이용중단이고요 pool gym은 이용가능합니다 직원분들 무척 친절합니다 훌륭한 호텔입니다,2021-06-01,-3.025494337081909,3.4713833332061768,0.06176015,0.00746141,0.14375667,0.05312416,0.01135031,0.00618586,0.51189035,0.05132407,0.00798628,0.14516075,-0.18685498376811616,-0.022574466429214346,-0.43493499929255464,-0.16072685522575636,-0.03434030267996313,-0.01871528552873225,-1.5487213604939853,-0.1552806928990007,-0.02416243405439933,-0.4391830257441107,0.21439315500579248,0.025901428919539726,0.49903451778675034,0.18441433506944538,0.03940128160856382,0.02147349260064968,1.776967635571438,0.1781655323864202,0.027723426825857045,0.5039086066396727
7,지혜,50,다른 호텔도 많이 방문하였지만 침대만큼은 콘래드가 최상입니다 침대 밖으로 나가고 싶지 않은 건 콘래드가 유일한 것 같아요,2021-05-01,-2.7996833324432373,3.3379065990448,0.47301838,0.02319012,0.02519537,0.02457647,0.03527683,0.01922569,0.04508719,0.01898179,0.02482139,0.31062672,-1.3243016688800608,-0.06492498788470691,-0.07053905603533606,-0.06880633414559512,-0.09876396395187026,-0.05382584528633583,-0.1262298605302119,-0.05314299112945653,-0.06949204080714289,-0.8696564377776568,1.578891165460199,0.07740644914799866,0.08409979010921331,0.08203396224823578,0.11775077674055279,0.06417355923737045,0.15049683640206535,0.06335943023570101,0.08285149213244303,1.0368429632456255
8,americano1205,50,프리미엄 리버뷰 룸은 완벽했고 특히 침대가 커서 매우 만족스러웠습니다 침구도 좋았고 가습기를 배치해주셔서 쾌적하게 머물렀습니다 모던한 디자인에 기분좋은 호텔리어의 응대 덕분에 매우 로맨틱한 하루를 보낼수 있었어요,2021-05-01,-2.991567850112915,3.4695234298706055,0.63785017,0.01258143,0.24240233,0.01333357,0.01913888,0.01043059,0.02446134,0.01029826,0.01346645,0.01603691,-1.9081720479015019,-0.03763819704777793,-0.7251630173429113,-0.03988828275993339,-0.05725526388884683,-0.0312038184483987,-0.0731777476464135,-0.030807956131299052,-0.04028580002914839,-0.04797551831642766,2.2130360934880855,0.043651561006855744,0.8410205635322399,0.04626113748604066,0.06640279930080162,0.03618917725836024,0.0848691798833201,0.03573006897367659,0.04672216513054739,0.05564045116100225
9,windbell08,40,친절함에 기분이 좋아지는 콘래드였습니다 객실 바닥에 조금만 더 신경 써 주신다면 접근성이도 좋고 편리함에 여의도를 간다면 자주 찾고 싶은 호텔이 될것 같습니다,2021-05-01,-3.030292272567749,3.4713664054870605,0.1919509,0.02319012,0.02519537,0.02457647,0.03527683,0.15975942,0.32615465,0.01898179,0.02482139,0.17009301,-0.5816673360817823,-0.07027283650393734,-0.0763493334910712,-0.07447388790329867,-0.10689911723349521,-0.4841177273391075,-0.9883439133075314,-0.05752036078315781,-0.07521607598352098,-0.5154315484762257,0.6663319138957107,0.08050139785735766,0.08746235924551637,0.08531393321161573,0.12245881616763477,0.5545834737458151,1.1322022924264559,0.0658927357805501,0.08616415046344983,0.5904551775107834
10,resunny83,50,전반적으로 마음에 들었습니다 다이아몬드 회원으로 룸 업그레이드 받아 한강이 잘 보이는 방이어서 경치가 좋았습니다 해피아워의 음식도 맛있었습니다 특히 뇨끼랑 부르기뇽이 맛있었습니다 술 종류도 다양하고 품질이 좋았습니다 2박 했는데 조식 뷔페 메뉴가 또같은 건 좀 안 좋았습니다 일자별 특색있는 음식이 있었다면 좋았을 듯 합니다,2021-04-01,-2.830214738845825,3.335397958755493,0.09036089,0.14322925,0.01186072,0.14388189,0.01660657,0.00905049,0.02122479,0.53818566,0.01168467,0.01391503,-0.2557407151893418,-0.40536952345786403,-0.033568384223221726,-0.4072166377993014,-0.04700015716667849,-0.025614839046380178,-0.06007072738144492,-1.5231809760467314,-0.0330701255724406,-0.03938252380611962,0.30138951921402857,0.47772653520786434,0.03956022088363276,0.4799033528604113,0.0553895173123351,0.030186996306855507,0.07079313761567674,1.7950633386897294,0.03897302484372189,0.0464121636109982
11,tubenetwork,50,항상 지리적으로 만족하는 호텔 더현대서울이 생기고 처음 가봤지만 평일이라 그런지 그렇게 복잡하진 않았네요 체크인도 대기없었고 항상 친절한 직원분들 다만 저녁식사를 한 37층은 손님이 많아서인지 직원분들 너무 정신이 없으신지 몇가지 부탁들을 드려도 서루 미루는 모습과 잊으신 모습들 아쉽습니다,2021-04-01,-2.1481335163116455,2.771242380142212,0.14680508,0.01023935,0.01112475,0.01085148,0.13967848,0.0084889,0.20606132,0.00838121,0.19711317,0.2612563,-0.31535690796804516,-0.021995494230098167,-0.023897445621678948,-0.02331042803302985,-0.30004802061682767,-0.018235290667129034,-0.4426472247211599,-0.018003950680545167,-0.4234254096037837,-0.5612134301953731,0.40683245319508643,0.02837572493505025,0.030829375167354733,0.030072081448318855,0.387082918495139,0.02352479951885278,0.5710458587815488,0.02322635476661805,0.5462483737686092,0.7240045510452191
12,은영 박,50,2021410에 만족스러운 투숙을 하고 리뷰남깁니다 콘래드는 매번 응대도 빨리 해주시고 친절해서 갈때마다 만족스러운 스테이를 하고 옵니다 이번에도 가족과 오랜만에 상경해서 기념일 보내고 왔는데 너무나 만족스러웠습니다 특히나 Service Agent 최형주 님께서 투숙전후로 디테일하게 응대해 주시고 편안한 숙박 되도록 챙겨주셔서 너무 감사했습니다 감사한 마음에 이렇게 메일과 트립어드바이저 리뷰에라도 남깁니다 하드웨어 최강 친절도 최강 편의시설위치 최강 한강 뷰 최강인 콘래드의 다음 투숙이 기다려집니다,2021-04-01,-2.9641971588134766,3.500260353088379,0.07539696,0.06430957,0.00989656,0.00965346,0.01385649,0.00755171,0.01770993,0.00745591,0.39615422,0.39801523,-0.2234914398335377,-0.19062623641747223,-0.029335359490431756,-0.028614767681409248,-0.041073365951326934,-0.022384770108646812,-0.05249572269497804,-0.02210078888651701,-1.1742792278192837,-1.1797956165807477,0.2639089723765551,0.22510022844014088,0.03464054186228793,0.03378963390821266,0.048501319819383326,0.026432966205141906,0.06198936407101385,0.02609762811540417,1.3866429270299818,1.3931569326238957
13,Navigator758955,30,객실 종류 City View Room  지하철에서 좀 거리가 있긴 하지만 위치는 여의도에서 더 좋을 수가 없다 IFC몰에 지하로 바로 연결되어 있고 길건너에 최근에 문을 연 현대 백화점이 있다 다만 IFC 오피스 빌딩이 너무 가까워서 창문에서 건너편 사무실이 잘 보이는 편이다 그쪽에서도 호텔 객실이 잘 보이지 않을까 그런데도 욕실에 객실 창쪽으로 창을 뚫어뒀다 블라인드나 커튼도 없이 그 축에 화장실도 있다 화장실  욕조  욕실 유리창  방 유리창  건너편 사무실 유리창이 일직선으로 연결된다 화장실에 다행히 불투명처리된 유리문이 있긴한데 객실 블라인드를 내리지 않으면 건너편 사무실에서 객실창과 욕실창을 통해서 내가 화장실에 들어가는 모습과 문을 닫아도 볼일을 보는 모습이 문에 비치지 않을까하는 불안감이 든다 욕실창 아니더라도 호텔이 맞은 편 사무실들에 불안감을 느낄 정도로 너무 가까워 커튼이나 블라인드를 치지 않을 수가 없다  건물 설계를 할때 호텔 목적이 분명했다면 IFC 오피스 빌딩들과 같이 설계되었을테고 그럼 서로 가까이서 마주보게 된다는 걸 분명히 알았을 것이고 그러면 객실 창을 여의도 공원쪽을 향하게 톱니 모양으로 만들었어야 했을텐데 객실에 프라이버시에 대한 고려가 건물 설계단계에서부터 부족했고 그런 부주의함이 객실 인테리어에까지 이어진 것 같다  로비는 서울에 있는 호텔들중에서도 최고에 속하는 웅장함을 선사한다 다만 거기에 힘을 너무 썼는지 객실 인테리어에는 무늬목을 너무 과도하게 사용한 느낌이다 무늬목의 감촉도 좋지 않고 호텔이 문을 연지 10년이 되어가는 것 같은데 아직도 가까이 가면 냄새가 별로인 부분도 있다  럭셔리 호텔은 모든 면에서 일상에서의 경험을 넘어서는 고급스러움을 투숙객들에게 선사해야할 의무가 있다고 본다 이 측면에서 콘래드 서울은 고급스럽지 않은 무늬목의 과도한 사용과 프라이버시에 대한 부주의함으로 그 의무를 다하지 못했다  좋은 점  방과 욕실이 넓다  IFC에 바로 연결 지하철역이 멀긴한데 지하로 오갈 수 있다  TV는 매우 만족스럽다 화질도 좋고 채널 설명도 잘 나오고 반응속도도 빠르다 여의도에 있는 만큼 당연히 블룸버그 채널도 있고  단기적으로 신속하게 개선했으면 하는 점  욕실 창에 반드시 커튼이나 블라인드가 필요하다  헤어드라이기가 다이슨 제품인 건 좋은데 왜 욕실에서 가장 멀리 떨어진 창가에 고정되어 있을까  장기적으로 개선했으면 하는 점  콘센트가 여러곳에 있긴한데 갯수나 종류가 아쉽다 충전용 USB 포트없이 우리나라 220v 규격 한개만있다  욕조에 누우면 세면대 아래가 바로 보이는데 욕조에서 세면대 아래가 보이지 않게 칸막이라도 설치해두면 좋겠다 세면대 아래 전선과 하수관들을 보면서 욕조에 편하게 누워있기는 힘들다 눈이 부시기도 하고  세면대가 2개이긴한데 세면대 주변 공간이 좁아서 개인 용품들을 널어 놓고 쓰기에는 불편하다  굵은 침대 다리가 침대 매트리스보다 좀 더 밖으로 나와 있는 형태라서 방에서 걸어다니다가 발가락 찍기 쉽다 침대는 매트리보다 딱딱한 구조물은 매트리스밖으로 나오지 않는 것이 좋다,2021-03-01,0.09931831061840057,0.3596796989440918,0.00242113,0.00109198,0.23279698,0.00115726,0.07445301,0.41780436,0.16755919,0.00089381,0.00116879,0.10065356,0.00024046246809804675,0.00010845312581037221,0.0231210029624227,0.00011493666062149625,0.007394547288380293,0.04149562324290734,0.016641695836766113,8.877203523745877e-05,0.00011608210198556755,0.00999674143458007,0.0008708310440878053,0.0003927612884083165,0.08373234837593913,0.0004162413076961857,0.02677923663775772,0.15027574656249953,0.06026763958445969,0.00032148652861749283,0.00042038950557049537,0.036203041787800316
14,Hyeongjin J,50,친절한 직원의 응대 시원한 한강전망 예쁜야경 편안한 침구 청결한 청소상태가까운 쇼핑몰의 편리함 만족스런 투숙이었어요,2021-03-01,-2.5638844966888428,3.0900278091430664,0.43159226,0.21402456,0.01772323,0.01728788,0.02481486,0.01352397,0.22942767,0.0133524,0.01746017,0.02079295,-1.1065526936154626,-0.5487342478676815,-0.045440321057718336,-0.044324123204319665,-0.06362243236128151,-0.03467389411425903,-0.5882260346152535,-0.03423400817595268,-0.04476584775132908,-0.05331071722812508,1.333632072727852,0.6613418381093794,0.05476528131671898,0.05342002476871066,0.07667860449079456,0.041789439891974034,0.7089378664953472,0.04125928348907326,0.053952397087355664,0.06425078780772431
15,BoardingPass827502,50,룸컨디션은 잘 정리되어 있어 깨끗했음 주변에 쇼핑몰을 걸어서 갈수 있어 좋고 고층에서 바라보는 한강이 예술임 직원들의 말투나 서비스가 초고급이란 느낌보다는 살짝 캐주얼한 느낌이었으나 서비스가 전체적으로 좋았음 룸서비스는 정말 만족함 다시 숙박하고 싶음,2021-03-01,-2.5231428146362305,3.0536906719207764,0.02591936,0.22421898,0.01270097,0.36660376,0.01778303,0.00969166,0.16441433,0.00956871,0.0833554,0.08574377,-0.06539825426774826,-0.5657365069746874,-0.0320463548630201,-0.9249936476853406,-0.04486911715654074,-0.02445343362934249,-0.41484083868557775,-0.02414320983004803,-0.2103175709663958,-0.21634377718369535,0.07914971671792514,0.6846954060992054,0.03878482595063737,1.1194944880398836,0.05430386410291366,0.029595321254584972,0.5020705098726559,0.029219865883363783,0.2545415982304249,0.26183495063445505
16,Julia,50,콘래드 객실 좋은건 두 말할 것 없구요 아이들 노는 곳도 잘 되어있었구요 무엇보다 라운지 서비스가 훌륭했습니다 육아에 찌든 저희 부부를 보시고 진심어린 서비스로 위로해주신 최윤석님께 감사하다고 인사를 남기고 싶네요 어디 남겨야 할지 몰라 트립어드바이저에 남깁니다 최고 추천,2020-10-01,-2.953155040740967,3.436840772628784,0.02789557,0.01258143,0.01366934,0.01333357,0.40036052,0.01043059,0.02446134,0.08654259,0.01346645,0.39725855,-0.08237993707246094,-0.037154909032683925,-0.04036769389897055,-0.0393761028333528,-1.1823267014968053,-0.03080315017350399,-0.07223811899299548,-0.2555736901870276,-0.0397685158375638,-1.1731660891992846,0.09587262526731033,0.04324036649115515,0.04697936084458676,0.0458253609505499,1.3759753748832537,0.03584827785240274,0.08406971840897448,0.2974331068732461,0.04628204574832595,1.365314381670224
17,JINHANG,40,서울의 금융 중심지 여의도 중심에 위치한 호텔 답게 접근성은 물론 호텔 지하에 IFC몰도 있어 이용객 편의 부분에선 국내에 콘래드 서울 호텔을 따라올 호텔이 있을까 싶다 위치도 서울의 중심에 가까운 위치에 있고 지하철 5호선과 9호선이 환승하는 여의도역과 간접적으로 연계되어 있어 교통편도 매우 좋다 그리고 객실 넓이도 넓은 편이라 쾌적한 투숙이 가능하다 그리고 콘래드 서울의 또 다른 장점으로 우수한 한강뷰를 꼽고 싶다 물론 바로 앞에 파크원이 생기면서 약간의 아쉬움이 있지만 그래도 우수한 한강뷰를 즐길 수 있었다 이번 투숙에서 약간 불편한 점은 객실 내에서 원인을 알 수 없는 기계음 같은 소음이 발생하여 약간의 불편함은 있었으나 해당 소리는 긴 시간 지속되지 않아서 큰 불편함은 아니었다,2020-08-01,-2.54461407661438,3.089928388595581,0.01104825,0.00498297,0.03561097,0.00528086,0.0075801,0.15511675,0.61363065,0.0040787,0.00533349,0.15733719,-0.02811352036907855,-0.012679728977481042,-0.09061618530246562,-0.01343774891834515,-0.019288417549604975,-0.3947122701236516,-1.5614531960095235,-0.010378726255962367,-0.013571665956253476,-0.4003624251936344,0.03413828662276175,0.015397012414293143,0.11003535899827455,0.01631747707568254,0.02342195207727038,0.4792996549027997,1.8960747730486958,0.012602901630737295,0.016480092719819872,0.48616064600992104
18,Jay Nam,50,COVID19영향으로 모든 경제영역이 타격을 받고 있는데 호텔들도 조금씩 회복 조짐이 보이는듯합니다 여름 휴가철 콘래드서울은 엄청난 방문객들과 숙박자들로 입실부터 만만치 않습니다 특히 수영장은 물반 사람반 호텔로비는 공기반 사람반이네요 호텔리어분들 힘들텐데 모두들 여전히 친절하십니다 명불허전 콘래드서울이네요 객실은 잘 정비되어있고 clean hilton 위생스티커로 문에 붙여두었습니다 위치도 좋고 한강을 비롯하여 전방위로 서울의 전경을 감상할 수 있네요 조식부페 맛있습니다 코로나바이러스에서 벗어나서 활기찬 일상으로 돌아갈 수 있길 기대해봅니다,2020-08-01,-2.4381327629089355,2.930673837661743,0.25411722,0.4813954,0.00849052,0.00828195,0.01188784,0.00647881,0.01519381,0.00639662,0.00836449,0.19939335,-0.6195715212621877,-1.1737058810739853,-0.020701004923560085,-0.020192504763787422,-0.028984132172820143,-0.01579620059064535,-0.03704451400398767,-0.01559580441999997,-0.020393739953679102,-0.48614745179687446,0.7447346902294996,1.4108128856237059,0.024882932736772556,0.024271707565869827,0.03483938166060674,0.01898728096751734,0.044528087096804114,0.01874640162599317,0.02451359542169307,0.5843568651803714
